"","X","HES3","LIN28A","L1TD1","S100A6","DPT","VASH2","MTRNR2L11","EPCAM","IL1R1","FAP","COL3A1","FN1","COL6A3","TWIST2","LRRN1","GALNT15","TRIM71","CLEC3B","TDGF1","MTRNR2L12","DPPA4","PTX3","RP11.641D5.1","SOX2","APOD","ADH1B","ZFP42","MTRNR2L2","SEMA6A","LOX","TGFBI","MATR3","SCGB3A2","SMIM3","GABRP","TUBB2B","POU5F1","LAMA4","RPL21P75","SERPINE1","CAV1","PTPRZ1","MTRNR2L6","CEBPD","SNAI2","CALB1","ESRP1","MAL2","HHLA1","WISP1","PTGS1","DKK1","SRGN","MTRNR2L8","SAA1","FABP5P7","CD248","MMP1","MMP3","NNMT","NANOG","EMP1","HOXC10","NTS","DCN","USP44","TMEM119","RGCC","ZIC2","ITGBL1","ABHD12B","OTX2","SNURF","THBS1","RBPMS2","CRABP1","UBE2Q2P6","ANPEP","CLDN6","ZSCAN10","NPIPA7","MT2A","MT1L","MT1E","CDH3","CDH1","CD68","MTRNR2L1","CFD","FUT3","SPINT2","RPL41P1","DNMT3B","CXADR","U2AF1","MIF","GGT5","LGALS1","POLR2F","SLC7A3"
"21","GTEX-11GSP-0008-SM-5Q5DM",0,0,0.96,5821,110.6,0.12,0,0.12,197.5,110,2081,34790,1072,377.8,0,91.35,0,50.14,0,1.84,0,644.7,3.47,0.37,131.1,22.23,0,0,0.13,395.5,2216,5.12,0.04,61.48,0.02,1.61,0.31,214.6,1.27,4598,1117,0.02,0.03,139.2,207.4,0.04,0.09,0.07,0,226.9,119.6,1023,122.4,1.73,268.3,0.91,451.2,112,15.65,584.9,0,365.3,95.63,0,660.5,0.18,246.2,442.5,0,536,0.17,0,0.51,3000,0.52,0,0.1,801.4,0,0.03,0.62,5414,487.8,754.4,0.03,0.11,183.7,0.06,38.41,0,1.17,0.57,3.77,0.05,0.14,3.16,38.6,8839,0.28,0
"22","GTEX-11H98-0008-SM-5QGR8",0,0,0,3505,681.9,0.12,0,0.07,303.6,232.4,2419,33470,571.1,346.8,0,96.12,0.02,246.7,0,2.32,0.04,5669,4.82,0.24,523.5,142.3,0,0,0.67,445.7,1347,5.88,0,110.2,0.03,3.65,0.09,311.8,0.7,3320,608.1,0.18,0,214.8,187.8,0.07,0,0.19,0,175,117,1027,197,1.04,330.8,0,557.3,17.44,10.85,886.5,0,328.2,72.04,0,1066,0.23,525.8,269.2,0,761.1,0.07,0,1.26,5187,0.22,0,0.33,529.1,0.18,0,0.27,1882,69.83,382.4,0.16,0.34,130.6,0.42,474.8,0.1,3.76,0.94,2.66,0.02,0.04,4.68,136.8,5876,0.12,0
"23","GTEX-11I78-0008-SM-5Q5DI",0,0,1.14,4873,97.26,0.09,0,0.38,354.9,155.6,3398,38730,1571,548.3,0.04,110.5,0,78.16,0,2.4,0,1038,4.8,0.09,335.5,58.44,0,0.45,0.41,272.5,3382,4.81,0.07,47.75,0.02,0.86,0.34,242.9,1.21,2354,692.4,0.06,0.03,193.6,176.5,0.05,0.2,0.37,0,242.3,160.8,1021,101.5,1.23,180.9,0.68,517.7,200.1,181.9,680.7,0,328.2,93.77,0.06,830.7,0.27,418.2,356.2,0.04,273.4,0.28,0,1.2,1172,0.82,0.19,0.17,1005,0.09,0.05,0.93,5825,449.7,1172,0.16,0.23,150.9,0.11,29.41,0.05,0.73,0.49,3.11,0.07,0.04,2.05,42.35,7302,0.29,0.03
"24","GTEX-11LCK-0008-SM-5Q5BB",0,0,1.14,3621,377.8,0.47,0,0.11,244.5,198.7,3352,29960,1029,113.1,0,18.21,0.02,408.3,0,1.82,0,6275,5.6,0.2,331.4,74,0,0,0.27,339.9,3224,5.48,0,85.64,0.06,3.47,0.31,219,2.75,3355,705.4,0.09,0.09,355.6,372.4,0,0.05,0.18,0,145.3,131,929.8,256.8,1.64,247.4,0.16,585.5,3.05,5.28,723.4,0,250.6,79.1,0,848.3,0.16,763.5,53.43,0.13,496.3,0.07,0.04,0.88,3101,0.12,0,0.28,511.1,0.26,0,0.32,1833,106.2,471.8,0.03,0.15,101.9,0,281.5,0,1.63,1.57,2.59,0,0.86,7.1,235.1,6237,0.19,0
"25","GTEX-11NSD-0008-SM-5Q5BC",0,0,1.03,3432,2.46,0.04,0,0.08,95.59,94.91,1070,18490,709.2,164.4,0,32.77,0,192.9,0,1.32,0,3265,6.32,0.14,416.7,52.52,0,0,0.4,178.1,832.4,5.83,0,102.5,0.03,4.24,0.52,201.9,1.48,1009,856.7,0,0,639.3,790.7,0.25,0.1,0.11,0,22.74,123.7,1017,255.3,0.82,135,0,357.9,0.56,3.32,498.5,0.03,127.3,143.2,0,667.1,0.02,137,20.26,0.09,113,0.07,0,1.34,1849,0.29,0,0.13,616.4,0.04,0.02,0.43,891.3,81.38,241.8,0.05,0.2,67.39,0,57.99,0,0.36,0.74,1.5,0.02,0.79,5.57,142.8,1513,0.25,0
"26","GTEX-11NUK-0008-SM-5Q5B9",0,0.06,1.09,2838,12.4,0.14,0,0.15,117.3,85.9,2419,24120,802.5,152.1,0,19.28,0.05,254.1,0,0.84,0.02,3171,6.41,0.14,380.8,191.6,0.04,0,0.44,171.1,915.5,5.15,0,90.82,0,0.78,0.35,332,1.98,887.1,712.1,0.01,0,755.8,866.9,0.11,0.13,0.16,0,23.21,164.8,486.9,228,1.27,47.95,0.43,916.3,0.9,3.56,506.6,0,126,94.21,0,410,0.09,193,4.87,0,172.6,0.05,0,0.65,902.9,0.17,0,0.51,541.5,0.41,0.04,0.46,764.6,69.09,229.8,0.05,0.6,75.73,0.12,371.7,0.04,0.55,0,1.4,0.05,0.61,5.12,248.6,2525,0.18,0
"27","GTEX-11NV4-0008-SM-5Q5BA",0,0,0,3556,114.1,0.08,0,0.03,314.9,212.6,2907,24880,1263,400.8,0.16,70.65,0.01,61.94,0.05,1.49,0.04,4246,5.2,0.02,214.2,237.1,0,0,0.21,355.3,1377,4.91,0,112.9,0,2.17,0.26,366.5,2.32,2649,574.8,0.2,0.04,272.2,190.9,0,0.03,0.1,0,116.2,157.5,304.2,157.5,0.96,64.01,0.46,562.9,4.82,2.42,810.7,0,363,58.13,0.1,534.2,0.25,417.8,62.39,0.04,434.9,0.3,0,1.56,2614,0.06,0,0.55,543.7,0.18,0.04,0.27,2868,206.7,501.3,1.47,0.38,118.6,0.17,170.2,0.04,1.26,9.29,1.92,0.04,0.75,0.74,185,6355,0.22,0
"28","GTEX-11O72-0008-SM-5Q5DN",0,0,1.03,4797,52.31,0.05,0,0.08,369.3,178,1721,35200,973.8,308.8,0.05,123.2,0.08,227.2,0,1.83,0,4732,5.24,0.07,236.3,245.2,0,0,0.14,321.3,3649,4.65,0.13,91.64,0,1.15,0.36,379.2,1.97,3394,765,0.03,0,202,267.8,0.06,0.04,0.17,0,125.7,156,1141,410.1,5.21,73.58,0,758.8,0.73,15.39,845.4,0.02,290,86.03,0,721.9,0.18,289.1,208,0,363.1,0.22,0.03,0.25,2071,0.26,0,0.3,648,0.19,0,0.42,2725,249.3,686,0.05,0.05,204.6,0,216.8,0,0.61,3.95,1.99,0.05,0.31,3.46,330.7,6867,0.24,0
"29","GTEX-11OC5-0008-SM-5S2OH",0,0.02,0.23,3229,43.96,0.1,0,0.05,397.1,186.2,2161,22400,1344,390.8,0,99.54,0,135,0,2.07,0,5034,4.56,0.05,424.7,242.5,0,0,0.41,366.6,2265,4.62,0,96.3,0.01,1.1,0.34,370,2.04,2219,506.1,0.03,0.04,216.4,174.1,0.02,0.03,0.02,0,103.9,293,844.6,115,1.69,249.7,0.6,663,36.74,15.37,708.1,0,409.9,64.1,0,813.1,1,426.8,230.3,0,294.8,0.31,0,0.67,2625,0.14,0.29,0.4,693.6,0.04,0,0.3,2163,159.8,548,0.03,0.04,170.8,0,283.4,0,1.16,0,2.85,0.02,0.91,2.86,465.2,4568,0.12,0
"30","GTEX-11OF3-0008-SM-5S2NH",0,0,1.13,3925,29.14,0.11,0,0.14,158,121.2,726.5,18960,728.9,182.6,0,84.28,0,90.35,0,0.71,0,4134,3.78,0,183.9,14.62,0,0,0.09,1000,5905,6.5,0,122.9,0.04,2.25,0.28,170.9,2.46,5490,1176,0,0.11,194.8,239.7,0.03,0.02,0,0,21.26,210.8,3165,701.8,0.81,53.53,0.66,592.9,19.74,147.7,434.9,0,395.2,76.89,0,472,0.21,86.2,156.7,0,316.9,0.07,0,1.03,1929,0.3,0,0.23,622.3,0.06,0,0.69,8315,639.4,1023,0.02,0.06,144.2,0.37,176.2,0,0.86,0.66,3.44,0.08,0.17,2.02,239.8,6629,0.1,0.05
