"","X","HES3","LIN28A","L1TD1","S100A6","DPT","VASH2","MTRNR2L11","EPCAM","IL1R1","FAP","COL3A1","FN1","COL6A3","TWIST2","LRRN1","GALNT15","TRIM71","CLEC3B","TDGF1","MTRNR2L12","DPPA4","PTX3","RP11.641D5.1","SOX2","APOD","ADH1B","ZFP42","MTRNR2L2","SEMA6A","LOX","TGFBI","MATR3","SCGB3A2","SMIM3","GABRP","TUBB2B","POU5F1","LAMA4","RPL21P75","SERPINE1","CAV1","PTPRZ1","MTRNR2L6","CEBPD","SNAI2","CALB1","ESRP1","MAL2","HHLA1","WISP1","PTGS1","DKK1","SRGN","MTRNR2L8","SAA1","FABP5P7","CD248","MMP1","MMP3","NNMT","NANOG","EMP1","HOXC10","NTS","DCN","USP44","TMEM119","RGCC","ZIC2","ITGBL1","ABHD12B","OTX2","SNURF","THBS1","RBPMS2","CRABP1","UBE2Q2P6","ANPEP","CLDN6","ZSCAN10","NPIPA7","MT2A","MT1L","MT1E","CDH3","CDH1","CD68","MTRNR2L1","CFD","FUT3","SPINT2","RPL41P1","DNMT3B","CXADR","U2AF1","MIF","GGT5","LGALS1","POLR2F","SLC7A3"
"223","HPSI0614i-kegd_2",89.61,939.02,397.37,92.18,0.05,149.96,71.25,377.62,0.75,2.73,86.75,636.53,30.95,1.71,97.22,0.42,164.43,0.18,722.41,6579.1,643.97,1.43,405.92,293.37,0.32,0.13,115.23,292.67,266.64,10.85,107.31,664.34,6394.63,0,2781.23,446.27,1060.15,4.42,1411.03,17.37,19.49,96.87,71.74,1.6,5.53,1625.65,134.67,100.96,1715.71,0.46,1.23,6.74,0.12,1890.9,0.06,83.85,2.31,1.05,1.02,15.11,70.36,20.26,0.07,148.44,37.87,151.45,0.97,0.85,144.87,5.9,1119.75,122.53,908.1,26.86,124.32,162.34,1669.52,5.01,491.68,114.36,127.43,7.06,0.41,4.15,122.56,116.69,1.96,544.64,0.86,484.68,215.25,4154.82,467.68,82.95,290.97,431.45,0.15,187.39,93.01,126.81
"224","HPSI1013i-garx_2",14.85,628.56,300.31,30.17,0,75.46,49.43,330.32,0.57,0,0.11,27.83,2.78,1.58,106.76,0.07,106.95,0.21,707.55,2846.78,626.38,0.93,566.07,171.11,0.11,0.12,121.64,208.76,105.03,0.81,8.28,566.72,2544.09,0.09,1524.04,308.17,1368.12,1.3,1430.86,2.23,12.25,100.8,44.67,2.08,0.55,1371.1,97.27,127.45,869.41,0,0.57,0.25,0.04,843.62,0.06,188.82,2.13,0.02,0.26,0.15,74.81,0.45,0,119.6,0.88,134.96,0.53,0.17,142.03,0.26,702.7,28.81,1049.5,9.14,112.89,269.11,1602.07,2.26,421.63,108.24,116.95,6.86,0.93,3.35,96.24,106.22,1.08,308.5,0.62,279.89,240.74,4002.75,316.08,77.3,212.09,787.32,0.08,48.86,139.47,194.63
"225","HPSI0115i-rakz_6",38.65,959.97,465.42,21.19,0,141.15,72.4,426.33,0.6,0,0.07,44.94,1.27,2.62,219.92,0.19,136.55,0.1,769.14,5040.15,507.46,1.68,218.82,173.02,0.11,0.01,148.3,266.01,268.19,1.18,14.66,563.12,3090.13,0.09,1459.05,381.68,1179.59,0.87,808.24,1.65,5.56,142.49,123.92,2.22,0.27,851.5,104.29,105.98,887.77,0,0.7,0.15,0,1376.46,0.08,120.1,3.98,0,0.02,0.09,108.86,0.52,0,116.18,0.42,138.43,0.56,0.2,173.28,0.05,577,61.09,903.65,14.32,224.94,149.73,1101.76,3.94,784.2,181.49,120.58,1.65,0.14,0.1,165.28,169.97,1.31,497.11,0.77,281.56,290.22,2757.71,480.1,85.64,224.45,472.17,0.14,30.35,93.67,267.7
"226","HPSI0215i-oilg_3",97.55,740.16,300.17,7.07,0,247.6,128.96,310.91,0.18,0,0.16,102.46,2.04,3.39,76.76,0.1,143.61,0.22,632.65,11775.6,809.12,0.15,352.92,173.39,0.15,0.08,117.62,537.21,336.78,0.51,2.99,558.59,9007.68,0,3140.41,362.64,1539.35,0.53,1598.26,0.55,11.19,95.26,114.96,1.34,0.11,1874.85,127.19,73.31,1837.03,0,0.23,0.18,0.1,3330.09,0,125.87,0.61,0,0.04,0.11,256.96,0.38,0,22.03,0.98,95.37,0.51,0.15,179.48,0.01,1645.47,23.47,908.27,23.13,122.31,298.87,1817.87,1.29,489.93,122.43,55.09,37.78,3.86,52.27,103.92,158.93,1.21,1070.09,0.57,509.42,197.04,4779.57,297.55,99.73,216.79,467.48,0.11,34.82,85.08,48.74
"227","HPSI0314i-qonc_1",59.35,805.12,359.63,50.97,0,143.34,39.18,298.6,0.94,0.15,1.15,76.71,3.71,2.22,187.71,0.08,157.32,0.24,987.02,3035.85,680.97,1.66,436.49,238.19,0.24,0.1,128.05,155.26,183.78,2.94,7.16,715.44,3702.3,0,2108.09,492.53,991.31,1.49,1271.74,8.57,16.06,132.98,67.93,1.52,0.63,1300.69,118.24,143.55,1165.56,0,1.13,0.53,0.13,707.17,0,167.14,2.1,0,0.02,0.2,65.35,0.98,0,35.51,0.49,163.71,0.33,0.41,117.51,0.13,868.85,49.13,768.25,10.93,125.24,188.23,705.72,1.91,451.83,147.43,142.64,1.65,0,0.9,104.42,136.19,1.18,263.55,1.3,497.87,195.06,3924.29,588.62,106.87,215.72,506.98,0.17,58.7,98.96,140.41
"228","HPSI0514i-lako_1",106.29,790.59,449.65,23.74,0,90.66,132.91,484.72,0.38,0,0.34,38.18,1.69,1.64,115.24,0.11,117.18,0.2,792.82,7579.39,575.69,1.57,583.43,336.06,0.36,0.12,83.23,329.16,167.31,1.5,10.51,602.88,3237.95,0,1505.82,376.97,1115.87,2.22,755.58,2.81,6.35,162.6,216.3,2.81,0.48,789.31,165.56,81.06,1380.88,0,0.31,0.53,0.07,2165.66,0.39,120.4,1.66,0,0.04,0.39,43.56,0.66,0,26.07,2.22,146.21,0.92,0.13,196.75,0.03,737.08,127.37,813.94,18.19,148.98,243.88,898.95,1.52,647.55,131.7,178.92,2.97,0.14,4.33,94.79,111.41,1.87,850.24,2.58,273.54,182.6,2671.56,421.3,83.53,321.57,925.51,0.39,142.07,116.81,70.57
"229","HPSI0314i-wigw_2",32.61,719.84,254.65,35.51,0,113.65,94.97,340.54,0.87,0.42,30.49,310.89,10.87,1.5,88.62,0.35,138.94,0.19,305.62,8095.71,505.61,8.27,352.77,222.06,0.22,0.16,72.9,362.93,302.19,4.79,40.3,642.81,1702.42,0.08,962.96,353.45,696.32,3.42,1703.22,25.87,5.26,136.86,98.01,2.88,10.24,733.65,89.41,90.16,520.59,0.14,1.88,3.36,0.07,2417.04,0.21,66.27,1.93,0.17,0.04,2.63,81.05,3.64,0.05,65.43,7.88,121.94,2.23,0.88,211.9,1.01,379.42,76.96,724.23,52.69,92.73,212.76,1.09,2.97,315.79,97.64,124.24,4.51,0.3,1.86,84.87,128.07,2.29,676.54,0.34,186.52,188.94,4483.9,243.92,110.31,246.07,419.53,0.27,97.62,66.15,72.54
"230","HPSI0714i-kute_5",110.68,947.95,332.86,38.54,0.04,93.71,89.96,343.99,0.71,2.18,27.44,256.73,28.69,1.57,160.5,0.2,208.85,0.2,577.38,7012.64,718.16,3.08,285.11,321.61,0.36,0.1,122.48,352.55,274.07,7.3,58.47,757.79,3095.22,0.09,1385.94,404.46,786.2,5,1374.84,7.21,9.91,153.71,152.44,1.97,2.99,850.41,143.87,132.09,819.56,0.41,1.72,0.86,0.15,1881.77,0.24,124.95,2.17,0.73,0.56,3.62,49.97,10.54,0,75.68,19.03,185.38,1.07,0.74,216.26,2.03,516.21,107.32,828.97,23.07,110.65,174.78,1468.29,3.09,461.79,124.14,147.39,5.6,0,3.53,104.66,201.74,1.1,571.72,1.03,255.54,182.33,3945.53,477.45,131.79,226.95,517.92,0.36,87.66,65.04,97.09
"231","HPSI0514i-rutc_2",97.18,949.99,473.6,30.38,0,139.89,36.93,449.29,0.47,0,0.05,45.54,2.56,1.71,221.1,0.24,193.21,0.28,1165.56,4638.32,678.39,1.35,248.5,284.95,0.06,0.12,135.54,195.84,163.77,1.18,8.82,763.22,7911.73,0,3826.26,446.14,1015.96,2.55,1515.02,6.47,14.11,140.94,45.16,1.76,0.32,2541.2,147.86,116.89,1919.03,0,0.85,0.5,0.05,1292.77,0.24,89.85,2.98,0.02,0.16,0.22,76.66,0.52,0,89.94,1.19,174.41,0.48,0.52,107.4,0.07,1372.32,99.81,945.32,14.85,143.94,174.33,1346.44,2.1,549.53,124.56,122.14,2.62,0,1.37,120.72,177.75,1.58,378.92,0.54,557.89,204,3824.43,464.96,140.77,256.53,450.19,0.2,76.19,91.02,152.72
"232","HPSI1213i-tolg_6",73.26,842.47,362.15,29.51,0,108.24,66.1,439.45,1.17,0.17,15.21,194.31,2.83,1.03,198.47,0.18,130.84,0.07,715.76,6753.29,577.29,2.1,225.03,277.6,0.21,0.16,114.52,324.62,240.24,5.07,16.27,736.24,4044.91,0,1930.74,344.6,804.82,2.33,1190.96,13.93,14.06,157.96,126.61,1.52,1.52,1324.5,116.38,109.75,1000.54,0.04,1.12,0.73,0,1873.12,0.24,111.89,4.18,0.16,0.3,3.51,39.79,1.33,0,82.78,2.44,134.77,1.07,0.21,134.15,0.24,745.67,100.63,821.22,30.23,115.23,126.94,1182.57,1.98,686.37,154.92,152.04,3.59,0,1.87,162.77,221.4,1.76,564.51,0.63,371.13,235.27,4224.56,474.46,134.4,214.51,346.96,0.19,48.03,85.24,204.71
"233","HPSI0614i-xubw_3",61.45,705.11,378.26,30.95,0,102.95,42.08,378.5,0.42,0,1.58,63.53,1.87,0.92,183.26,0.15,89.38,0.35,864.87,3882.25,554.22,0.95,480.81,268.8,0.2,0.12,136.37,218.19,142.83,1.45,9.82,633.49,3189.19,0,1589.5,343.47,1071.34,1.76,831.65,3.05,9.42,99.54,49.55,1.86,0.2,930.48,106.44,124.93,983.8,0.03,0.88,0.54,0,953.68,0,229.18,3.85,0,0.04,0.23,87.76,0.29,0,39.65,0.88,123.07,0.77,0.27,156.23,0.09,586.26,94.15,1067.38,9.85,158.96,211.39,764.18,3.13,772.16,125.55,129.18,5.92,0.12,3.86,134.1,131.18,1.59,361.51,0.83,302.91,218.4,4491.48,472.74,93.27,247.84,867.79,0.27,34.69,137.5,193.09
"234","HPSI0913i-lise_1",72.21,768.56,321.67,24.11,0,95.88,31.55,297.28,0.55,0.09,0.76,25.32,1.5,1.7,107.01,0.07,131.87,0.33,557.68,2785.76,703.3,1.58,363.16,199.92,0.11,0.09,139.49,148.36,111.3,0.98,8.17,728.58,1559.51,0,949.32,317.06,991.36,1.34,1367.08,1.81,4.7,158.11,30.38,1.98,0.56,856.74,112.59,113.69,589.69,0,0.71,0.27,0.15,577.24,0.08,138.32,1.48,0,0.28,0.29,48.66,0.7,0,138.42,0.58,132.82,0.41,0.14,147.81,0.1,440.42,73.21,830.72,9.42,113.23,168.58,1505.62,1.77,467.78,165.93,164.33,4.07,0,2.26,75.11,135.02,0.98,207.75,0.6,166.18,176.98,4500.95,423.46,86.92,235.72,580.51,0.12,31.56,109.37,109.7
"235","HPSI1014i-roug_3",36.7,727.25,415.82,0.53,0,164.1,82.15,481.74,0.4,0,0.05,57.36,2.13,1.97,121.31,0.1,124.6,0,751.64,6768.98,902.05,2.41,337.22,202.97,0.22,0.12,101.01,321.58,141.22,4.5,5.33,739.42,6059.48,0,2825.06,365.29,976.67,2.75,1408.57,15.86,28.57,102.03,92.3,3.74,0.63,1729.35,144.43,189.37,1635.49,0.03,0.59,0.83,0,1886.66,0,105.5,1.77,0,0.04,0.13,96.72,0.49,0,33.18,1.2,149.17,0.69,0.3,58.8,0.13,919.39,45.27,723.76,7.33,102.31,123.72,826.81,2.65,416.01,126.32,123.99,4.35,0.16,3.11,110.69,130.89,1.92,603.09,0.68,453.43,240.73,4680.4,271.24,130.61,226.45,602.53,0.11,117.29,72.24,71.4
"236","HPSI0514i-toco_5",49.98,731.63,155.13,23.74,0,55.55,76.05,345.77,0.5,0.13,3.09,44.11,1.45,1.51,66.07,0.06,70.38,0.04,432.75,5711.25,790.02,2.17,402.05,161.22,0.16,0.06,120.85,270.06,105.56,1.76,14.1,595.33,818.9,0.07,429.21,259.44,679.260000000001,1.46,2253.08,7.25,3.28,84.44,128.9,2.12,1.8,399.55,111.81,106.51,270.61,0.05,0.5,0.69,0,1474.92,0,112.95,0.65,0.21,0.02,0.61,49.86,1.12,0,141.02,3.33,137.98,0.35,0.14,166.57,0.09,224.28,90.33,955.74,45.25,95.59,211.82,1418.47,1.12,374.98,75.41,60.5,5,0.12,3.66,55.56,79.79,1.15,513.62,0.82,76.97,175.29,6009.64,173.64,102.57,188.54,696.31,0.2,101.36,109.43,85.4
"237","HPSI0614i-uilk_2",46.33,710.94,223.29,19.3,0,110.47,125.73,354.23,0.33,0,0.07,23.63,1.25,1.6,76.23,0.15,125.52,0.04,451.5,9879.87,596.74,1.07,476.7,197.9,0.27,0.03,120.68,220.21,206.81,0.9,7.61,651.67,2680.24,0.16,1276.02,310.01,759.19,1.75,1590.6,27.18,15.92,75.95,209.63,1.77,1.02,925.32,104.92,114.37,700.99,0,0.65,0.4,0,2551.1,0.35,177.48,1.44,0.04,0.52,0.21,49.77,0.94,0,17.9,1.2,146.78,0.88,0.39,136.2,0.06,537.41,53.12,751.92,79.46,140.2,168.71,1765.8,0.7,337.25,88.73,118.64,9.8,0.25,19.49,76.26,132.68,1.74,1001.26,0.6,187.58,174.79,4613.87,265.03,97.57,234.66,480.82,0.21,65.68,97.2,86.52
"238","HPSI1114i-xiby_4",50.09,573.96,247.51,55.88,0.02,60.05,60.8,284.39,1.26,0.4,76.95,425.76,21.77,1.53,158.58,0.2,103.89,0,388.72,4833.15,419.61,67.58,207.36,184.72,1.16,0.08,37.32,285.17,144.42,7.56,214.18,589.01,596.19,0.26,330.06,480.14,801.42,13.04,858.61,12.75,6.84,346.09,103.05,2.73,13.66,188.25,76.58,51.6,169.75,0.5,0.58,2.28,0.09,1242.16,0.07,159.4,4.58,0.11,0.06,3.99,70.25,25.33,0,25.23,13.05,108.55,4.7,16.75,198.2,1.17,109.66,71.74,649.29,35.42,116.06,237.4,966.7,2.28,546.28,97.57,114.57,7.56,0,0.44,98.11,178.85,1.24,415.68,0.69,84.16,151.47,3499.76,302.59,109.48,205.23,565.12,0.3,222.79,101.74,113.65
"239","HPSI0914i-euts_3",99.21,889.75,323.68,21.08,0.02,112.27,78.99,404.12,0.36,0.32,2.92,82.61,3.22,1.23,193.19,0.24,180.31,0.15,712.85,6791.32,642.38,0.77,433.02,310.57,0.35,0.09,122.84,277.22,238.15,1.48,13.51,744.88,3395.26,0,1540.21,294.5,841.22,2.11,1329.83,2.3,5.55,89.38,133,1.22,0.63,987.08,138.89,116.05,992.86,0.03,1.31,0.6,0,1823.97,0,105.95,1.88,0.16,0.04,0.64,71.97,1.19,0,105.97,1.56,156.2,0.65,0.09,166.65,0.75,584.74,113.43,909.31,19.78,125.81,97.99,722.44,3.1,506.77,116,160.76,1.57,0.16,0.51,114.38,184.56,1.62,588.4,0.59,264.96,184.65,4436.03,516.8,116.08,235.75,458.58,0.23,35.91,85.8,145.86
"240","HPSI0214i-giju_3",73.77,880.76,282.45,24.79,0,121.18,105.89,342.15,0.54,0.1,0.77,73.25,2.37,1.63,167.3,0.3,138,0.11,728.73,8365.15,642.49,0.99,407.25,235.34,0.14,0.06,131.3,380.54,189.09,1.67,9.45,679.36,7684.84,0,3367.42,366.03,902.9,1.56,1168.36,3.82,19.45,93.52,106.33,2.5,0.5,1938.51,126.63,119.44,2011.69,0,0.65,0.35,0,2112.03,0.14,152.99,2.07,0,0.6,0.37,73.15,0.57,0,29.38,1.24,155.37,0.35,0.27,83.56,0.24,1567.43,51.81,971.64,13.74,147.3,172.98,1228.34,1.67,516.12,112.64,129.52,8.2,1.04,11.49,55.93,139.96,1.3,784.77,0.67,486.5,177.66,3846.76,466.26,109.09,228.48,446.75,0.16,69.05,102.06,177.28
"241","HPSI0314i-cuhk_2",55.93,742.29,318.7,27.68,0,162.57,158.82,286.55,0.42,0,2.62,33.63,1.92,1.8,149.11,0.03,160.89,0.43,501.96,9707.52,722.85,5.03,416.64,210.68,0.56,0.15,80.56,452.36,171.08,1.4,10.24,729.29,1451.88,0,846.14,414.86,889.44,2.03,1232.97,2.14,7.1,202.12,244.2,2.15,1.26,707.25,104.2,96.32,536.83,0.01,0.45,0.51,0.06,2446.61,0,129.35,1.52,0,0,0.3,52.67,0.47,0,209.37,1.85,117.05,1.57,0.31,147.78,0.05,408.43,31.83,768.47,11.61,110.29,197.35,1406.6,2.52,370.8,134.91,136.73,1.91,0.19,1.48,78.29,90.65,0.96,915.9,0.59,138.44,172.42,4625.53,258.8,80.46,253.13,517.59,0.55,79.09,110.36,104.29
"242","HPSI0114i-fikt_3",46.54,851.86,285.73,34.07,0,148.84,40.26,321.47,0.46,0,0.67,27.29,1.49,1.52,163.97,0.08,139,0.3,687.45,2778.44,696.03,0.9,441.86,243.69,0.33,0,127.82,137.2,129.46,1.7,7.94,752.18,2181.33,0.34,1302.79,393.16,1013.61,1.78,1394.44,2.26,5.24,151.94,42.21,1.74,0.49,971.9,128.31,133.84,736.16,0,1.06,0.06,0.09,656.5,0.12,117.96,2.62,0,0.3,0.14,39.03,0.56,0,129.85,1.2,151.9,0.9,0.05,181.29,0.24,575.63,82.32,859.31,7.2,105.8,194.1,792.48,1.8,463.98,148.86,110.41,0.89,0,0.25,100.39,148.86,1.52,261.58,1.01,211.53,194.54,4244.67,383.59,109.85,242.14,578.01,0.12,36.14,105.12,166.08
"243","HPSI0314i-qaqx_1",94.53,928.65,216.07,27.59,0,95.62,103.06,306.77,1.08,0,0.91,38.51,1.13,1.82,123.32,0.23,226.53,0.52,487.26,6055.14,746.95,1.29,472.03,237.77,0.49,0.04,132.46,287.06,233.05,1.27,9.78,577.84,3126.75,0,1848.74,391.01,815.95,1.52,1256.51,2.43,5.55,146.55,147.82,2.22,0.31,1270.5,121.7,114.29,1061.2,0,1.6,0.2,0.21,1644.49,0.11,125.23,1.04,0,0,0.26,77.37,0.81,0,110.5,1.46,145.62,0.37,0.19,249.5,0.1,731.28,99.76,846.07,28.08,98.68,139.6,731.48,2.16,444.26,125.78,173.78,1.63,0.19,3.64,98.76,192.15,1.29,599.34,0.87,297.97,229.61,4343.22,453.92,111.52,225.93,548.99,0.1,31.26,81.11,114.92
"244","HPSI0914i-jejf_3",50.73,706.5,440.77,46.7,0,241.21,97.38,521.24,0.67,0.42,3.16,145.29,3.24,1.6,100.68,0.03,130.82,0,747.1,7977.52,735.97,0.96,409.96,204.54,0.23,0.06,89.14,373.16,298.83,2.14,17.29,602.33,4817.24,0.08,2421.05,429.61,904.26,2.37,879.78,60.74,33.27,117.97,170.1,2.35,1.49,1525.41,138.85,101.57,1588.29,0.05,0.36,1.41,0.06,2037.51,0,203.01,2.52,0.2,1.02,1.57,92.4,2.42,0,46.2,4.32,160.98,0.17,0.47,46.7,0.42,1045.44,15.64,810.78,27.95,205.43,141.67,791.97,1.22,511.16,118.48,115.22,35.6,2.39,63,92.79,106.45,2.74,685.11,1.12,424.53,221.44,3399.71,362.74,78.91,261.23,416.79,0.45,134.84,108.19,109.21
"245","HPSI1014i-qayj_3",81.1,750.33,426.46,25.08,0,117.18,83.2,418.48,0.54,0.44,3,104.03,4.37,1.62,186.88,0.13,136.07,0.31,737,9565.72,579.67,2,275.37,255.98,0.3,0.1,127.22,394.5,110.11,2.51,20.22,677.43,2060.74,0.09,1080.88,344.83,1066.44,2.06,1415.36,8.54,9.15,75.33,92.41,2.27,1.57,885.54,121.48,100.73,666.38,0,0.53,0.34,0.07,2687.5,0,115.17,2.78,0.3,0.06,0.59,68.7,1.91,0,64.57,1.04,129.41,0.52,0.13,120.47,0.39,450.38,137.77,928.41,98.29,138.72,142.52,1579.99,1.13,515.91,136.87,108.71,5.91,0,7.64,93.18,104.75,1.5,825.5,0.61,161.32,183.91,4521.5,307.39,107.23,277.75,541.72,0.12,55.55,101.62,101.97
"246","HPSI0414i-oikd_2",79.5,944.07,340.5,26.34,0,80.22,63.85,362.75,0.59,0.73,8.11,110.7,5.75,1.1,177.58,0.07,151.61,0.08,549.92,5452.16,556.9,8.06,393.39,286.47,0.35,0.05,151.09,264.58,215.59,4.16,30.55,893.54,1278.14,0,563.46,381.22,809.3,2.74,1714.34,6.81,6.46,152.43,123.93,1.16,2.09,444.49,122.02,141.85,378.49,0.35,1.41,1.85,0,1441.88,0.3,95.9,1.98,0.73,0.02,1.37,52.54,4.44,0.08,17.37,3.51,162.04,0.54,0.89,176.6,0.44,236.56,161.78,842.56,23.48,115.39,163.39,2.51,1.25,499.15,112.4,113.35,4.26,0.15,1.92,84.48,169.52,1.32,425.29,0.47,192.81,152.79,4607.15,397.78,131.33,256.46,661,0.02,63.8,83.85,76.14
"247","HPSI1013i-pamv_3",85.73,766.97,285.14,31.19,0,105.54,53.1,344.66,0.47,0.29,13.26,70.58,3.11,0.87,173.88,0.06,115.17,0.18,700.52,3500.73,644.43,3.12,456.58,230.73,0.24,0.09,85.7,83.99,115.23,2.32,18.77,649.73,1338.95,0,787.19,368.03,1091.03,1.37,1287.95,4.66,4.53,138.15,81.61,1.55,1.4,820.68,104.56,96.29,465.33,0.04,1.23,0.53,0.11,1154,0.13,69.8,2.29,0,0,1,40.56,1.65,0.02,31.13,2.44,113.26,0.88,0.1,163.68,0.29,339.01,119.33,872.1,18.77,105.25,214.07,731.83,2.23,592.67,156.7,161.62,1.1,0.15,0.23,100.95,138.46,1.6,374.12,0.95,167.65,250.49,3218.07,406.95,80.05,261.66,730.87,0.21,57.19,107.66,116.79
"248","HPSI0715i-zaie_5",51.82,882.38,463.1,47.75,0,235.15,61.7,385.01,0.67,0.06,2.84,125.09,2.76,0.9,185.71,0.17,155.57,0.04,1054.08,5093.85,630.51,2.32,351.94,251.63,0.18,0.02,136.05,259.5,225.64,4.99,11.56,770.96,7633.06,0,3022.49,442.9,998.51,3.25,1198.12,25.46,30.71,108.42,105.3,1.87,1.03,2078,134.38,142.18,1869.32,0.06,0.54,0.45,0.2,1367.61,0,160.34,3,0.12,0.08,1.57,77.78,0.78,0.08,176.37,1.04,167.8,0.32,0.21,76,0.1,1294.76,48.98,830.33,20.88,155.13,124.08,782.01,1.26,555.78,125.85,102.56,6.21,0,2.77,107.48,121.02,1.54,412.65,0.63,569.32,196.78,3906.78,470.87,129.96,254.84,473.17,0.24,89.74,98.98,158.43
"249","HPSI1014i-xejd_1",20.64,457.25,171.28,746.6,0.17,36.59,88.58,304.2,0.71,1.28,105.86,3763.97,111.95,4.43,71.75,0.97,34.74,0.25,492.41,3167.26,334.97,5.98,326.42,95.39,4.62,0.02,97.76,198.09,218.39,18.76,794.66,252.2,2339.84,0,1038.25,390.27,1137.2,6.85,914.08,168.85,37.88,53.7,108.49,7.17,26.79,957.76,48.22,46.46,829.55,0.27,0.38,5.06,0.13,1140.32,2.42,348.78,10.08,15.32,0.34,101.26,93.26,56.86,0.19,63.1,30.67,49.8,12.4,5.99,84.09,10.68,617.98,15.4,952.28,40.95,155.4,261.26,1653.19,6.28,692.58,120.54,70.91,175.93,4.22,27.22,142.17,66.41,5.35,459.67,0.88,244.59,312,4125.49,269.85,27.89,198.84,988.54,0.31,1760.31,143.6,172.2
"250","HPSI0115i-vazt_1",93.47,1030.97,287.56,36.45,0.02,118.43,48.15,347.33,0.78,0.99,15.45,147.95,6.49,1.4,177.38,0.15,178.28,0.21,678.3,4084.53,614,1.58,356.14,297.78,0.07,0.19,151.93,104.08,195.89,4.13,36.31,773.64,5301.03,0,2108.57,398.26,880.24,2.95,1628.83,6.41,10.23,123.19,83.86,1.66,2.55,1429.07,145.35,130.96,1366.29,0.08,1.2,3.79,0.08,1102.02,0.18,142.17,2.35,0.22,0.6,1.3,45.95,3.22,0.07,65.18,6.41,172.44,0.53,0.55,173.49,0.97,834.34,150.97,880.86,15.4,107.89,203.78,1628.82,2.15,442.64,100.1,140.83,5.27,0.48,1.1,96.19,162.88,1.38,342.44,0.63,477.82,177.74,4592.28,477.13,126.14,234.33,484.61,0.17,60.43,82.16,126.4
"251","HPSI0115i-timk_4",120.68,832.35,155.74,22.22,0,53.44,81.93,191.8,0.14,0,1.27,24.52,0.52,0.95,112.12,0.02,47.52,0.14,371.01,5447.57,464.55,0.69,409.91,231.72,0.12,0.09,155.75,287.5,89.9,0.32,7.38,492.42,1125.19,0,574.16,249.35,929.77,0.72,1347.24,0.64,4.17,79.05,72.46,0.95,0.35,487.76,97.96,74.57,301.97,0.05,0.59,1.97,0,1505.49,0.06,188.97,1.3,0.03,0,0.19,41.05,0.25,0.16,14.25,0.69,58.14,0.63,0.07,140.28,0,234.51,165.39,1150.08,6.47,95.54,293.98,2396.09,1.65,559.03,94.9,82.9,2.14,0.11,0.67,77.84,100.83,1.08,585.35,0.7,116.06,164.95,5058.37,308.69,73.11,219.47,1037.39,0.24,49.36,134.99,79.94
"252","HPSI0914i-suop_5",72.1,845.4,356.66,33.46,0,96.03,59.12,364.91,1.29,0.49,10.87,122.61,5.21,1.28,152.68,0.14,163.09,0.07,661.22,5348.08,594.62,2.12,321.69,234.99,0.26,0.07,161.38,266.18,146.51,3.24,27.4,776.17,2659.3,0.09,1188.27,394.53,780.09,2.09,1452.52,5.34,12.9,120.14,62.91,2.27,2.6,807.75,124.36,149.17,725.63,0.19,1.53,1.45,0,1422.94,0.08,101.44,2.62,0.13,0.3,1.96,38.32,4.05,0,208.86,4.29,156,1.23,0.09,180.25,0.8,419.75,89.32,842.59,25.74,124.15,203,1.52,2.25,426.9,113.87,118,1.68,0,0.74,100.49,151.12,1.25,418.04,0.53,226.87,166.88,4439.43,400.82,110.29,248.21,427.75,0.29,48.28,81.06,129.3
"253","HPSI0514i-xayd_4",51.49,605.9,59.89,35.88,0.04,38.63,42.03,162.5,0.36,0.94,8.55,62.68,1.95,0.6,65.87,0.21,33,0.03,376.54,2827.67,493.76,6.28,566.92,165.81,0.34,0.08,128.07,159.4,83.2,3.41,27.14,433.7,410.9,0,196.51,197.53,464.65,2.41,2263.93,2.69,2.48,55.52,61.23,0.77,4.81,232.3,54.91,65.32,127.17,0.16,0.99,27.89,0.03,712.23,0.08,243.02,1.16,0.35,0,0.84,36,1,1.63,42.21,13.72,95.74,0.64,1.58,99.07,0.13,154.76,191.31,918.37,13.52,50.71,343.31,1.09,2.56,291.24,29.87,49.01,1.76,0,0.15,32.66,41.25,1.01,270.03,0.52,47.84,131.69,7014.94,103.9,86.57,137.78,1012.83,0.13,102.72,119.33,53.05
"254","HPSI0115i-gost_2",66.67,663.51,123.99,27.11,0,47.64,80.17,217.73,0.44,0.54,6.24,116.6,2.42,0.89,101.55,0.24,84.17,0.27,289.81,5869.71,409.61,5.03,572.83,305.75,0.3,0.12,85.84,291.31,121.94,4.29,21.45,713.72,989.05,0.07,493.38,372.58,544.03,2.64,1357.98,2.58,3.61,111.16,131.1,1.16,3.35,336.35,88.1,70.56,331.34,0.05,1.45,10.35,0.11,1425.22,0.1,130.96,1.75,0.07,0.22,0.41,37.7,1.32,0.41,16.72,7.35,93.92,1.44,0.43,174.47,0.09,187.88,193.7,677.47,18.86,85.97,235.92,816.56,2.1,366.72,56.21,136.25,1.86,0.1,0.51,61.05,86.89,1.38,536.23,0.79,94.72,138.04,4801.49,242.51,98.37,212.43,669.49,0.03,63.76,89.86,84.64
