"","X","HES3","LIN28A","L1TD1","CA14","F11R","VASH2","MTRNR2L11","MYCN","EPCAM","ADD2","H3F3AP4","LRRN1","TRIM71","TDGF1","MTRNR2L12","DPPA4","RP11.641D5.1","SOX2","ZFP42","ADCY2","SERF1B","MTRNR2L2","SEMA6A","MATR3","PCDH1","SCGB3A2","GABRP","RP11.423H2.1","TUBB2B","GCNT2","POU5F1","LIN28B","PKIB","RPL21P75","PTPRZ1","MTRNR2L6","CNTNAP2","IDO1","TPD52","CALB1","ESRP1","MAL2","FAM84B","HHLA1","FOXH1","CTSV","NR6A1","AIF1L","FGFR2","MTRNR2L8","FABP5P7","FGF23","NANOG","DDX47","KRT8","PMEL","NTS","USP44","CLDN10","ZIC2","ABHD12B","OTX2","VRTN","SNURF","GABRB3","SPINT1","MYEF2","RBPMS2","CRABP1","UBE2Q2P6","CLDN6","ZSCAN10","MTRNR2L4","NPIPA7","PRSS8","CDH3","CDH1","MTRNR2L1","RND2","DSG2","FUT3","AP1M2","SPINT2","CYP2S1","NLRP2","RPL41P1","DNMT3B","WFDC2","SALL4","CXADR","CBS","U2AF1","CECR2","MIF","POLR2F","RP11.706O15.1","MAGED4B","MTRNR2L10","SLC7A3","ZIC3"
"140","HPSI0414i-mita_2",156.2,754.16,235.82,50.6,202.55,171.71,52,58.81,265.38,105.88,563.36,154.1,119.63,749.2,3374.4,641.81,333.39,246.61,103.59,83.5,84.2,195.66,213.89,509.46,70.25,5670.7,2698.66,90.81,570.22,53.52,1628.8,73.31,106.67,645.65,96.41,67.41,65.81,26.05,64.94,1936.82,117.95,84.68,50.56,1668.46,107.06,83.96,61.67,83.2,75.14,706.48,120.56,1.04,155,63.88,441.45,80.09,49,65.14,39.52,197.49,1333.74,42.73,63.44,745.72,89.07,101.86,73.58,122.48,484.59,1366.31,769.28,155.71,28.13,111.54,97.9,131.87,212.93,288.67,86.03,105.77,567.82,88.86,267.37,108.74,56.7,2967.95,485.96,115,66.39,89.77,292.15,212.51,44.61,855.11,105.38,49.35,63.58,36.66,132.49,82.44
"141","HPSI0114i-rozh_4",79.63,666.34,297.18,61.67,135.57,135.15,63.54,67.28,355.46,79.46,642.13,144.74,116.9,557.32,4399.02,602.67,356.89,210.9,138.28,80.59,81.91,93.94,134.76,595.75,69.84,1171.14,707.7,63.65,371.4,36.02,1124.46,62.79,6.47,1100.8,107,94.44,42.16,48.3,56.24,633.06,104.33,97.25,54.38,436.26,56.19,85.25,72.15,116.52,58.72,1199.84,127.37,1.32,70.82,78.98,282.92,108.4,149.19,125.37,58.43,176.65,329.28,82.22,90.65,931.14,57.42,99.96,84.35,122.69,189.77,1359.06,554.82,185.44,36.28,134.47,91.74,116.67,122.91,423.13,105.36,98.72,141.04,95.14,245.28,119.61,58.5,3007.67,422.04,84.36,83.76,71.01,315.48,261.4,33.95,731.91,115.03,61.23,71.74,45.22,171.14,68.88
"142","HPSI0914i-kajh_3",73.54,1011.1,300.07,63.02,169,72.28,78.27,54.22,330.43,88.82,922.31,129.41,182.02,372.41,6923.08,603.85,372.95,228.15,125.23,63.46,94.71,332.25,218.03,666.37,77.96,3640.58,1561.61,60.68,386.32,57.36,851.46,91.31,16.29,1534.71,126.62,145.4,68.83,15.65,61.57,961.87,127.8,97.46,79.92,912.97,61.54,69.57,96.35,83.72,70.62,2002.06,63.51,57.85,66.91,68.67,259.74,104.63,102.28,129.68,41.29,217.3,632.87,120.22,50.56,859.41,61.75,79.23,92.56,115.42,203.05,852.19,433.32,106.3,66.45,129.5,77.94,100.9,162.73,592.08,83.62,101.89,265.17,86.66,187.38,114.78,2.61,5200.11,321.36,42.93,89.9,118.39,190.66,237.42,61.33,441.2,78.57,98.19,63.5,113.98,90.31,52.97
"143","HPSI0115i-kozf_1",62.24,637.11,431.37,86.27,160.32,127.72,159.01,52.49,665.89,56.66,819.44,201.85,63.98,747,12628.9,525.11,294.25,170.47,146.54,40.54,58.05,606.97,187.57,707.34,102.93,1522.73,703.99,58.96,298.19,40.03,873.38,66.08,97.23,821.27,168.58,155,54.26,61.07,31.35,438.99,104.94,97.08,23.85,408.76,72.98,120.55,50.19,78.75,49.12,3023.14,207.06,106.39,153.14,87.29,173.84,95.69,76.71,171.27,57.88,138.06,270.1,54.73,43.47,774.73,111.6,110.62,39.66,129.22,242.79,1.61,1046.77,112.14,126.99,64.4,61.06,124.1,176.48,1155.99,68.57,133.32,190.39,65.22,228.13,201.27,15.12,3312.77,482.7,51.39,70.71,139.6,185.06,229.51,34.37,600.79,107.97,27.22,83.34,70.15,198.92,40.42
"144","HPSI0115i-gifk_1",66.02,903.25,310.8,39.5,144.22,149.35,51.81,59.5,389.84,53.56,1050.52,183.04,135.02,618.96,5379.65,583.46,369.16,259.55,140.66,46.16,60.61,235.92,159.47,806.91,53.04,2226.52,1041.7,53.18,363.06,40.99,791.41,68.71,82.05,1300.68,106.64,108.58,50.04,53.02,55.26,674.36,142.21,121.96,89.16,669.24,50,92.81,65.07,84.28,68.14,1313.64,130.77,62.36,49.55,92.57,311.84,84.98,23.51,150.01,42.27,106.03,391.18,106.01,47.66,791.49,64.52,71.2,81.49,142.23,149.02,1504.13,540.82,94.96,60.65,151.97,67.89,92.8,138.38,438.32,78.4,104.09,206.47,77.12,172.42,119.18,73.17,3534.28,392.76,53.13,80.9,102.33,205.37,255.73,39.61,459.63,109.77,81.8,68.3,89.81,143.92,63.85
"145","HPSI1213i-hehd_2",32.32,759.29,411.93,34.58,121.35,130.74,34.92,61.04,383.22,85.16,1026.88,133.83,147.18,531.78,2485.45,681.07,484.2,209.19,128.15,62.95,118.05,125.26,122.28,775.9,62.56,2235.17,1371.72,53.67,450.55,36.03,1043.4,75.6,2.43,1311.7,173.75,31.14,52.21,33.45,51.93,1051.29,108.47,141.5,54.36,808.12,32.07,67.47,112.7,122.18,55.03,574.56,160.72,0.93,57.02,84.71,242.7,82.55,57.64,140.71,67.53,144.47,629.99,52,66.8,731.15,101.86,80.03,106.47,129.85,163.52,715.17,443.04,140.44,18.53,142.75,75.58,90.44,122.01,221,71.07,132.74,338.28,82.5,177.24,89.43,53.82,4303.05,405.22,43.46,83.89,94.78,286.34,263.29,41.54,561.88,117.22,100.09,70.24,5.9,115.67,40.93
"146","HPSI0115i-kozf_2",102.03,570.1,485.64,59.57,176.95,176.87,146.64,40.12,532.05,82.44,713.97,148.47,85.42,768.54,10910.3,596.25,348.32,186.45,118.61,61.3,53.44,493.53,352.9,680.13,90.52,4672.21,1954.78,54.6,434.75,41.81,1032.51,81.59,29.07,790.06,154.85,132.79,99.51,17.88,40.13,907.1,101.01,73.88,28.48,1214.89,107.4,108.82,47.36,61.23,62.97,2616.07,174.08,105.1,267.05,69.48,263.78,67.19,146.59,95.85,28.59,189.22,753.35,31.56,38.41,647.54,118.1,118.29,55.33,134.25,286.68,0.46,934.01,124.04,112.22,71.11,70.76,125.74,209.45,1031.81,57.82,122.67,372.69,53.27,244.18,147.36,58.86,2385.23,499.64,50.12,69.47,136.42,190.84,223.29,37.54,547.74,91.3,29.8,63.52,63.76,88.13,59.12
"147","HPSI1114i-zuuy_4",42.5,697,139.55,45.3,82.46,89.91,63.93,37.68,241.21,45.14,722.88,106.38,57.52,626.67,4563.98,665.8,272.76,155.36,164.39,44.95,109.15,239.61,77.89,541.25,34.57,2023.15,966.06,69.49,271.32,36.33,859,57.74,17.06,1757.53,70.87,105.14,51.37,109.28,52.3,820.87,90.64,122,30.83,535.86,41.27,61.46,42.5,70.79,36.49,1209.86,297.11,15.11,72.75,117.76,187.37,116.62,39.67,146.95,50.45,101.18,380.49,98.01,39.14,1098.88,55.64,52.93,53.75,120.77,192.67,2249.58,442.75,75.09,48.85,66.68,44.92,57.23,68.27,425.55,78.16,75.28,178.94,81.56,145.27,75.92,35.73,4714,256.03,55.89,61.66,86.13,156.71,168.26,24.7,901.11,134.6,44,43.4,84.57,123.81,41.44
"148","HPSI0115i-hecn_6",101.99,905.07,287.24,60.62,151.77,125.29,92.18,50.85,302.23,64.18,922.86,183.77,186.51,499.72,7656.64,597.44,340.82,281.68,130.45,52.74,61.23,386.34,193.1,692.03,56.55,3930.3,1474.17,44.29,371.68,55.55,776.23,81.56,85.48,1542.85,135.25,169.03,52.55,60.93,59.61,1028,122.62,128.16,84.55,893.47,58.45,72.59,87.92,106.81,64.92,2125.57,64.9,92.09,32.29,76.35,235.36,107.35,113.05,142.04,52.27,205.02,714.86,114.35,56.18,879.74,63.11,76.52,85.88,106.6,204.26,1474.64,494.44,108.18,89.88,102.97,76.04,101.51,189.56,667.7,99.3,107.23,224.26,84.08,202.78,124.06,99.7200000000001,4635.21,370.92,59.06,91.29,116.75,216.4,226.83,50.94,455.16,73.61,72.05,62.62,130.32,118.95,80.81
"149","HPSI0914i-rejf_2",82.62,883.43,340.42,56.2,220.24,168.95,110.28,52.94,385.27,94.6,934.59,118.18,169.96,741.61,7006.77,809.71,489.26,227.25,110.4,83.56,83.83,335.75,232.1,651.32,80.6,8049.85,3340.8,61.07,442.32,53.16,1146.67,90.44,61.4,1164.02,139.85,175.34,52.62,30.03,79.27,1807.46,157.09,95.34,51.87,2029.02,77.66,87.77,86.05,80.75,72.61,1798.62,99.74,29.95,132.19,71.74,330.7,77.77,29.95,149.23,43.72,191.52,1419.76,60.67,55.07,798.48,85.8,96.18,84.98,122.89,230.25,760.43,537.71,121.16,54.43,121.02,79.52,115.73,195.5,699.53,81.88,112.86,540.84,97.91,195.54,113.54,69.66,4198.23,381.45,48.94,72.87,113.65,182.58,185.62,53.75,752.78,87.95,103.08,60.94,107.22,107.83,70.38
"150","HPSI0614i-lirf_6",60.56,935.98,458.75,59.29,159.25,171.38,81.92,70.49,408.96,80.42,656.85,181.92,149.93,812.9,6155.73,700.8,441.66,233.21,157.64,84.49,85.98,324.13,164.3,877.05,87.47,3638.06,1775.69,80.08,364.56,48.64,910.05,86.74,31.64,992.25,179.74,134.13,53.68,39.81,53.88,1113.6,135.32,129.29,56.36,989.26,49.15,87.98,112.81,108.5,61.05,1482.31,212.08,26.06,72.02,80.72,278.09,87.66,178.82,174.8,52.85,133.04,602.49,82.37,70.69,861.46,95.63,81.79,77.82,145.79,183.2,660.65,512.02,133.97,46.28,129.21,72.29,98.8,151.52,562.75,62.39,152,329.45,79.94,157.76,139.97,60.21,4155.07,511.53,51.85,82.03,105.89,224.38,226.56,54.49,546.88,99.97,51.09,62.92,85.86,168.71,58.85
"151","HPSI0614i-juzt_4",94.17,722.61,249.3,57.29,198.72,163.92,126.04,47.25,368.14,102.7,854.8,104.32,160.01,663.07,9120.79,704.62,343.67,172.12,122.27,75.41,60.05,400.99,299.17,603.46,74.48,9182.23,3014.6,92.45,406.64,57.83,1203.62,100.63,29.55,1223.84,123.84,256.27,76.44,7.06,71.69,1518.06,134.68,99.23,59.59,1914.24,68.41,65.21,82.94,63.46,63,2418.83,107.73,114.74,178.41,70.9,367.02,50.56,122.49,130.99,34.76,199.01,1603.45,39.32,36.03,716.11,94.26,92.54,70.35,110.87,291.89,1534.73,443.99,96.58,319.86,84.52,63.86,97.44,169.01,883.85,63.18,96.57,571.52,75.13,178.1,92.66,9.89999999999999,3853.65,310.2,53.33,65.16,112.23,135.31,184.13,51.95,737.8,77.31,137.76,60.2,183.19,67.93,64.22
"152","HPSI1213i-babk_2",64.41,617.09,372.71,57.36,131.05,120.57,62.15,58.81,376.76,66.38,1006.97,159.8,112.86,771.33,3528.02,619.08,612.49,214.75,66.03,30.87,102.04,81.05,131.39,564.87,67.12,4226.18,2305.43,98.69,384.94,39.18,1303.47,52.77,8.23,1056.47,126.25,72.51,38.72,69.26,50.43,1625.82,98.39,99.82,39.13,1297.26,50.01,58.97,59.09,105.04,54.73,913.22,211.11,1.03,87.28,77.18,290.51,83.56,37.28,115.71,53.08,93.45,1191.01,79.93,80.04,1028.95,65.23,97.93,66.44,120.74,259.6,1068.26,543.31,162.78,26.98,139.75,93.46,94.48,132.48,360.97,91.35,100.83,495.68,77.55,238.17,123.84,60.93,3918.89,531.74,40.91,78.13,75.97,270.85,228.31,46.38,759.36,127.83,92.2,69.96,36.38,135.73,108.37
"153","HPSI1114i-ualf_6",107.74,1011.79,255.88,61.41,140.31,81.97,82.61,50.36,363.38,68.48,993.58,151.98,177.12,353.34,6070.75,592.63,353.45,307.53,113.92,38.55,72.27,309.97,205.1,733.21,58.65,2996.37,1446.57,66.34,384.05,51.61,732.93,94.09,118.29,1616.48,128.63,135.62,80.97,43.44,68.28,944.24,136.25,116.64,88.77,841.35,62.7,78.48,83.99,85.94,88.27,1683.33,110.76,75.23,54.38,75.44,273.14,97.78,32.8,154.91,54.42,189.44,531.24,161.33,46.74,852.79,64.54,76.38,87.46,104.24,160.36,856.5,490.52,103.88,67.39,131.6,73.27,93.7,182.53,541.36,105.9,124.07,207.72,89.78,198.69,113.01,90.99,4584.96,412.52,48.66,101.38,123.81,160.65,238.52,55.99,511.28,72.86,150.5,65.54,93.14,79.43,85.14
"154","HPSI1114i-zuuy_5",62.23,710.06,152.12,65.09,206.05,76.17,173.55,44.94,423.08,66.14,617.07,250.37,79.62,573.09,10525.8,404.13,324.01,189.31,110.21,58.17,80.61,599.27,215.4,522.24,105.86,2039.03,992.02,50.47,305.78,44.35,802.74,35.54,42.73,804.67,139.77,278.67,51.26,86.71,48.4,663.32,89.07,83.29,32.57,480.64,99.32,155.22,60.85,73.94,94.02,3115.71,181.34,19.26,45.92,71.92,202.39,188.31,22.3,106.69,74.2,134.73,329.05,87.34,43.35,895.84,83.11,138.09,54.83,118.84,205.64,979.26,926.7,112.02,121.6,124.94,111.05,151.61,221.82,1138.35,83.73,131.5,168.7,83.01,327.36,212.05,15.12,3301.12,335.4,51.51,83.94,126.6,214.89,188.73,43.31,674.28,93.64,51.65,95.74,231.1,257.81,36.48
"155","HPSI0214i-wibj_1",57.57,644.31,478.78,56.16,125.2,118.14,82.89,93.43,351.96,68.84,1097.16,175.89,107.48,623.97,4747.73,669.68,362.5,186.94,157.02,63.23,150.65,230.72,125.59,562.31,72.53,2075.46,1243.25,70.34,325.24,33.4,1001.66,60.46,71.62,673.94,137.96,90.87,34.21,94.44,46.17,1157.07,112.5,103.66,39.77,812.91,33.52,65.79,71.59,114.69,60.94,800.1,232.34,1.29,92.17,82.34,222.79,93.56,115.56,150.39,58.7,222.24,582.15,52.8,73.4,888.06,69.51,80.99,69.97,141.68,186.43,991.43,534.84,182.51,27.13,176.14,69.06,103.23,123.91,408.52,73.95,105.58,253.08,85.44,212.88,137.24,47.34,2334.81,491.58,62.98,79.63,76.62,328.4,258.33,36.82,669.21,126.44,90.27,75.36,50.48,159.92,49
"156","HPSI1014i-bilx_2",46.32,505.45,253.94,145.86,208.45,244.58,67.68,51.22,359.67,74.16,1433.9,97.05,101.18,535.29,5956.89,615.82,356.01,264.47,107.19,57.6,63.95,257.29,163.78,828.85,61.66,725.68,424.36,50.89,403.41,45.15,854.6,58.76,113.35,1235.7,238.27,123.33,80.12,9.58,48.86,387.2,92.08,57.19,47.89,247.93,54.82,74.39,109.68,101.88,47.62,1473.85,102.82,77.49,52.47,94.43,252.81,70.07,144.55,182.71,55.09,242.92,183.11,80.07,41.84,583.37,94.09,53.82,86.09,125.71,406.16,722.31,391.24,124.07,63.89,177.66,53.43,69.14,81.64,608.66,77.19,126.05,79.71,32.55,164.59,118.5,3.15,3697.57,284.13,40.37,76.3,106.92,151.71,250.22,31.9,571.45,97.24,90.76,71.92,94.02,87.28,21.2
"157","HPSI0314i-xagu_1",33.81,501.25,180.01,77.65,106.41,121.45,39.22,40.4,200.58,85.74,960.32,105.64,98.18,213.07,2766.65,485.12,277.37,145.55,64.98,68.78,122.98,152.52,208.03,603.98,44.42,1035.93,567.19,61.36,496.41,31.37,774.23,63.19,74.35,1331.22,210.01,66.98,79.25,24.53,37.21,460.02,70.49,47.68,35.86,307.29,44.19,44.29,93.07,117.81,40.54,751.68,122.87,14.94,52.87,77.56,230.71,85.62,25.44,94.72,29.39,164.24,254.08,37.02,34.48,891.91,65.26,59.66,74.65,133.68,454.29,1417.12,259.91,90.31,29.56,88.14,45.3,63.81,67.93,256.9,67.55,60.74,156.88,44.36,138.69,68.4,37.26,3584.77,186.84,62.02,59.88,81.58,143.83,233.6,48.31,664.51,86.08,68.08,73.54,52.26,66.93,24.53
"158","HPSI0215i-uiao_1",40.83,593.8,283.86,81.6,260.97,83.5,151.64,52.03,533.63,76.2,699.01,139.36,108.05,762.27,11306.2,613.86,367.12,113.52,95.64,92.38,62.71,633.88,309.18,518.37,97.08,3183.42,1581.62,32.27,277.45,64.73,850.91,42.43,72.49,833.06,225.81,250.99,24.92,50.59,35.66,956.77,104.77,89.26,40.04,817.37,57.44,87.45,82.16,73.16,55.27,3052.77,142.02,21.04,90.52,63.37,262.09,135.18,154.11,125.99,67.32,154.3,555.93,20.11,45.61,791.91,80.83,156.48,54.07,147.97,135.42,645.99,678.9,123.86,119.16,111.5,111.98,171.11,199.71,1022.73,48.81,139.3,238.27,82.66,303.63,199.34,44.37,3242.6,256.42,110.36,68.03,116.2,210.06,195.59,44.74,540.55,81.05,97.9,63.3,204.8,235.25,19.94
"159","HPSI1014i-sehl_6",165.83,1201.17,426.39,66.1,162.56,95.88,75.81,62.25,495.73,49.14,1162.55,231.04,294.47,812.19,5572.94,708.57,583.17,381.41,141.52,33.44,83.59,274.97,301.25,732.66,82.26,4036.25,1655.3,46.72,338.87,51.21,752.04,103.45,117.46,1427.05,93.57,123.28,71.63,188.3,83,1048.49,166.06,127.07,94.86,1062.53,90.32,119.07,61.06,81.74,125.04,1528.61,100.76,75.54,48.73,72.82,199.25,85.02,7.75,186.08,34.86,173.49,532.89,225.65,63.87,899.11,56.43,85.4,112.56,115.57,98.43,805.81,518.21,155.55,63.32,153.04,80.9,113.75,272.03,477.09,117.36,125.18,260.64,92.9,190.5,167.92,63.63,3969.28,983.96,39.57,151.75,134.32,243.85,239.55,85.7,447.73,69.61,215.52,70.9,80.71,99.48,140.12
"160","HPSI0115i-womt_1",111.81,987.91,284.83,62.34,119.63,112.33,92.37,56.55,312.34,65.06,1190.68,182.63,180.2,464.28,6492.87,569.08,595.5,394.84,137.22,34.14,93.58,326.66,213.44,744.32,68.48,2137.85,921.72,76.55,305.82,37.05,887.31,108.17,73.01,1057.62,111.83,142.01,130.57,63.85,69.27,588.71,124.26,129.45,79.63,573.47,60.9,94.4,113.22,96.59,85.16,1613.55,142.45,77.88,93.46,76,196.22,129.23,21.3,166.03,48.72,230.51,311.42,198.96,57.03,912.62,74,74.47,112.07,138.88,162.86,1279.26,469.77,98.81,57.29,134.49,61.99,77.31,182.65,642.74,145.49,117.79,167.95,73.22,170.82,129.9,77.4,4350.51,539.3,36.7,128.19,129.25,210.32,226.25,64.15,544.57,80.65,73.59,68.84,96.33,100.9,89.85
