"","X","HES3","LIN28A","L1TD1","CA14","F11R","VASH2","MTRNR2L11","MYCN","EPCAM","ADD2","H3F3AP4","LRRN1","TRIM71","TDGF1","MTRNR2L12","DPPA4","RP11.641D5.1","SOX2","ZFP42","ADCY2","SERF1B","MTRNR2L2","SEMA6A","MATR3","PCDH1","SCGB3A2","GABRP","RP11.423H2.1","TUBB2B","GCNT2","POU5F1","LIN28B","PKIB","RPL21P75","PTPRZ1","MTRNR2L6","CNTNAP2","IDO1","TPD52","CALB1","ESRP1","MAL2","FAM84B","HHLA1","FOXH1","CTSV","NR6A1","AIF1L","FGFR2","MTRNR2L8","FABP5P7","FGF23","NANOG","DDX47","KRT8","PMEL","NTS","USP44","CLDN10","ZIC2","ABHD12B","OTX2","VRTN","SNURF","GABRB3","SPINT1","MYEF2","RBPMS2","CRABP1","UBE2Q2P6","CLDN6","ZSCAN10","MTRNR2L4","NPIPA7","PRSS8","CDH3","CDH1","MTRNR2L1","RND2","DSG2","FUT3","AP1M2","SPINT2","CYP2S1","NLRP2","RPL41P1","DNMT3B","WFDC2","SALL4","CXADR","CBS","U2AF1","CECR2","MIF","POLR2F","RP11.706O15.1","MAGED4B","MTRNR2L10","SLC7A3","ZIC3"
"161","HPSI0314i-uict_3",80.17,877.76,295.11,54.17,101.78,123.29,84.54,47.62,362.15,44.96,769.96,178.69,124.93,574.8,6432.08,458.05,573.11,384.22,104.11,26.35,65.35,324.98,184.42,787.64,42.66,2308.88,987.89,41.38,304.39,35.81,833.54,73.92,122.63,926.59,118.44,91.09,128.88,79.43,50.41,640.08,130.89,109.04,79.41,668.4,51.18,116.02,63.31,76.6,79.44,1600.01,227.02,106.18,53.8,82.85,273.51,117.67,25.38,115.15,37.04,174.13,423.44,144.11,41.14,894.32,53.24,62.06,82.93,145.9,245.89,751.94,517.55,89.39,61.44,111.88,52.68,82.46,134.85,645,88.92,103.49,218.95,78.03,186.6,127.97,76.5900000000001,3974.14,437.61,49.9,97.48,100.34,161.53,270.65,41.89,607.1,110.06,61.51,58,32.96,105.81,65.88
"162","HPSI0715i-aowh_2",120.02,1106.86,337.48,63.72,133.34,82.16,134.05,63.48,417.36,42.8,739.7,153.85,189.7,522.98,8565.89,652.42,596.48,340.18,125.67,28.31,99.87,359.92,191.28,729.25,54.43,4160.57,1663.89,88,261.45,45.24,710.53,77.95,71.32,1341.99,135.89,218.21,61.64,68.24,69.73,1092.09,157.16,108.71,90.24,1166.36,78.26,117.15,58.32,70.04,100.75,2552.42,89.19,105.02,32.69,71.64,226.81,97.54,66.68,155.46,40.27,201.93,696.19,192.36,53.65,750.51,58.73,73.73,99.95,104.09,140.82,1804.7,506.9,107.36,99.89,128.47,66.45,106.82,205.95,795.52,126.1,104.02,399.78,92.5,209.85,160.28,4.05,3915.93,499.01,36.05,101.09,112.63,192.51,237.25,43.97,510.8,77.1,104.7,68.64,125.14,100.42,75.88
"163","HPSI0115i-zihe_1",38.81,825.58,257.93,47.86,118.03,86.79,95.31,56.59,350.1,62.52,891.68,111.12,127.97,497.94,7994.56,597.23,367.32,219.31,129.39,35.88,88.6,370.9,133.84,731.21,50.65,2085.86,1061.36,94.84,318.31,37.54,725.03,74.16,113.19,1254.09,126.02,170.47,51.28,34.23,48.39,689.92,126.25,113.53,66.74,633.79,42.25,65.48,75.62,75.88,63.77,1965.88,118.73,64.06,33.31,77.86,227.88,94.89,90.5,133.04,46.47,195.03,457.16,80.35,45.57,800.53,66.68,69.28,108.08,131.77,155.71,1614.94,452.79,101.03,87.07,172.12,53.58,81.04,126.02,675.02,74.26,100.02,179.38,65.98,160.44,104.87,14.58,3775.19,364.33,41.89,78.89,101.22,209.11,243.16,37.01,482.52,98.58,91.22,60.56,128.15,86.33,43.2
"164","HPSI1013i-wuye_2",52.56,776.13,379.76,57.36,145.12,99.48,41.23,64.63,425.65,86.32,287.95,146.17,145.02,677.62,2877.92,735.65,424.68,190.7,99.77,62.4,72.9,162.24,130.89,654.72,56.33,1131.46,772.13,77.37,423.75,40.95,913.9,76.63,59.38,1213.09,145.3,41.46,39.32,125.85,68.94,648.91,115.58,146.55,65.83,467.07,39.85,83.42,111.64,116.08,52.46,744.4,180.18,0.66,63.3,77.9,240.36,139.02,33.73,162.67,65.32,166.29,408.79,41.39,68.52,852,81.36,92.75,102.37,129.78,229.72,1494.26,414.4,156.02,23.77,134.23,86.36,90.56,138.09,269.61,75.5,99.15,152.08,90.88,220.02,115.2,31.41,3454.27,381.02,47.13,84.62,91.73,268.93,259.18,42.7,548.55,117.35,48.86,74.08,6.08,184.61,90.8
"165","HPSI0614i-qunz_2",114.21,943.63,209.99,65.92,129.17,60.39,92.85,52.25,266.21,54.98,727.13,138.47,139.5,613.73,6838.46,543.78,528.71,325.82,137.96,38.89,81.63,348.26,192.67,653.23,40.8,2749.63,1251.93,77.65,344.99,43.48,856.63,109.99,85.54,1188.91,75.26,163.99,91.17,142.1,73.28,792.77,111.56,140.92,62.33,698.08,59.87,96.87,64.98,98.14,71.58,1705.06,178.47,28.16,76.41,80.31,244.86,137.37,47.58,152.56,49.12,157.28,520.47,169.99,59.01,997.91,58.21,68.31,82.96,122.7,199.74,847.81,476.41,89.91,53.78,99.93,59.91,78.68,136.92,644.14,114.36,103.93,259.82,79.45,169.21,117.76,78.48,4370.1,446.45,38.95,103.56,107.08,204.28,208.01,47.47,593.59,90.26,56.51,68.72,97.3,111.11,125.53
"166","HPSI0215i-deyz_2",89.22,1101.93,353.61,53.53,151.32,130.56,65.97,62.08,479.36,60.3,657.83,184.01,200.49,925.19,5603.91,763.2,335.65,261.27,109.64,53.31,44.64,309.87,240.78,789.44,71.64,5927.14,2804.08,42.48,460.25,65.47,934.45,90.28,88.46,1161.56,147.88,112.22,52.33,88.61,93.92,1847.99,180.14,112.3,60.99,1602.29,73.06,95.6,96.62,91.81,76.77,1394.89,145.35,64.21,55.12,76.13,325.28,120.83,22.73,178.93,40.62,93.93,1192.97,113.31,68.54,867.26,88.66,92.19,79.72,139.37,186.56,1304.27,545.04,123.88,58.97,116.09,69.25,90.1,197.75,457.52,107.63,125.96,626.17,93.37,196.64,170.71,139.23,3585.25,606.22,46.73,112.77,142.2,178.31,236.56,82.23,453.05,95.08,96.62,50.7,90.04,121.73,190.44
"167","HPSI0614i-voce_1",88.68,1120.16,299.58,58.16,184.31,97.53,67.46,53.49,350.58,68.62,1021.96,179.66,207.77,715.69,4808.23,716.05,544.29,304.23,123.87,80.64,73.43,252.8,237.97,728.53,66.33,4854.76,1947.65,57.4,368.28,57.58,968.51,110.69,131.66,1173.76,112.55,109.47,60.95,44.87,81.52,1344.73,150.23,117.68,62.68,1326.48,70.69,86.38,87.47,114.08,79.93,1222.91,174.93,24.92,69.08,71.55,265.16,135.54,32.41,160.36,44.29,160.79,897.91,119.05,61.81,895.78,75.84,91.5,73.08,129.88,141.48,801.9,545.77,104,36.53,86.33,88.66,113.69,188.35,458.9,115.83,129.02,490.21,100.25,207.49,156.63,126.27,4686.06,482.67,49.84,101.21,121.27,159.92,214.66,67.64,604.45,97.28,49.11,56.86,67.27,104.86,106.83
"168","HPSI0114i-zapk_3",66.75,769.35,219.61,43.85,200.93,126.17,182.18,40.57,364.15,58.38,651.05,154.84,173.19,1209.16,9195.08,849.93,579.84,166.05,76.16,75.28,65.01,398.22,287.36,560.78,33.86,7193.83,3748.71,93.43,357.29,64.8,1050.59,57.59,59.48,955.47,116.85,130.24,20.69,71.46,82.36,2379.52,132.26,83.57,48.7,2244.13,65.33,106.6,43.09,79.25,69.64,1862.49,198.17,1.43,98.1,68.45,195.61,139.45,78.63,120.99,49.24,111.69,1470.77,19.7,53.6,910.81,57.2,98.16,82.84,107.48,186.14,681.55,451.37,127.86,67.44,125.14,73.87,103.67,116.45,893.46,79.42,92.02,638.91,90.61,255.2,146.91,80.91,3702.07,501.43,74.78,72.36,74.27,241.57,202.67,44.89,679.7,95.87,79.81,49.26,43.51,157.68,76.98
"169","HPSI0215i-oilg_1",37.6,615.53,299.02,34.95,191.72,257.21,82.83,31.14,295.97,110.06,949.37,52.5,124.65,512.8,10070.6,838.75,365.45,168.45,110.99,98.9,73.42,419.8,275.27,719.43,40.7,5583.38,2143.37,69.36,410.42,57.74,1638.09,84.52,69.79,1614.02,101.51,88.7,63.12,1.41,73.04,1396.78,133.03,85.18,56.09,1343.71,63.96,66.49,47.23,59.86,57.63,2763.69,163.35,47.34,225.68,67.95,420.63,33.6,42.68,74.85,29.71,168.18,1065.17,8.9,35.38,831.26,120.66,97.1,75.94,134.66,333.14,1331.28,438.47,124.83,99.14,71.98,48.85,101.05,146.83,816.25,45.9,103.41,408.28,77.73,157.95,86.06,42.03,4074.89,302.98,37.79,59.18,110.1,188.85,263.36,48.41,456.56,95.23,25.69,34.82,56.25,41.91,52.93
"170","HPSI0614i-qunz_3",126.61,1044.94,221.99,60.32,137.93,68.87,113.87,51.11,271.56,67.64,687.24,156.52,197.24,510.69,8173.1,579.25,562.27,331.15,126.73,41.23,92.85,409.32,225.77,686.19,50.93,3431.91,1550.84,76.07,326.3,47.89,776.16,117.38,42.08,1089.98,80.82,195.79,94.24,118.53,67.42,884.24,120.59,134.23,75.86,882.22,62.34,97.53,80.75,96.08,92.28,2053.1,124.68,24.68,69.33,71.37,212.41,138.83,38.73,154.51,45.76,196.2,561.83,177.76,60.9,1005.84,58.66,66.53,98.12,116.93,184.55,784.64,451.73,83.94,64.67,138,56.96,80.48,157.9,757,107.29,101.27,355.7,74.28,164.85,124.25,79.7400000000001,4140.94,481.2,31.81,112.41,113.64,219.61,197.94,58.97,520.83,76.38,62.7,65.54,124.96,104.29,116.01
