"","Gene","ES_MeanTPM","IPS_MeanTPM","ES_Log2","IPS_Log2","Log2FoldChange","ABSV_Log2"
"14001","RP11.133N21.7",0.365666666666667,0.485636363636364,-1.45139897498005,-1.04205164266427,0.409347332315776,0.409347332315776
"14002","MAMDC2",6.97533333333333,9.26375757575757,2.80226216129399,3.21159749978348,0.409335338489494,0.409335338489494
"14003","RIOK3",23.1936666666667,30.7994242424242,4.53565900731018,4.9448314766399,0.409172469329723,0.409172469329723
"14004","C9orf169",1.589,1.19669696969697,0.668119124686432,0.259057876038607,-0.409061248647825,0.409061248647825
"14005","CUX2",3.33566666666667,2.51224242424242,1.7379751273994,1.32897568691152,-0.408999440487886,0.408999440487886
"14006","SHD",2.09033333333333,2.77539393939394,1.06373301886209,1.47269256211984,0.408959543257756,0.408959543257756
"14007","UBE2M",62.9336666666667,83.5563636363636,5.97576009512631,6.38467780273111,0.408917707604803,0.408917707604803
"14008","TBC1D8",13.293,17.6488484848485,3.73259482754501,4.141502151506,0.408907323960988,0.408907323960988
"14009","FBXO5",42.6256666666667,56.5902727272727,5.41365049299303,5.82248218515017,0.408831692157134,0.408831692157134
"14010","RP3.359N14.1",0.00466666666666667,0.00351515151515151,-7.74339186332564,-8.15219740889297,-0.408805545567329,0.408805545567329
"14011","IRX5",1.88233333333333,1.4179696969697,0.912522130598046,0.503826701478218,-0.408695429119829,0.408695429119829
"14012","FAM83F",7.452,5.61366666666667,2.89762767427955,2.48894340075384,-0.408684273525708,0.408684273525708
"14013","C7orf50",60.3806666666667,45.4855454545455,5.91601478071181,5.5073362486791,-0.408678532032709,0.408678532032709
"14014","TMEM14B",101.917,135.29103030303,6.67125090634321,7.07992238262723,0.408671476284019,0.408671476284019
"14015","C2orf48",1.02866666666667,1.36551515151515,0.0407755611874916,0.449445322081595,0.408669760894103,0.408669760894103
"14016","GRN",94.097,70.8851212121212,6.55607682257958,6.14741093242071,-0.408665890158874,0.408665890158874
"14017","ANXA10",0.02,0.0265454545454545,-5.64385618977472,-5.23539134441937,0.408464845355358,0.408464845355358
"14018","PFN1P8",0.415,0.550787878787879,-1.2688167584278,-0.860431284515858,0.408385473911942,0.408385473911942
"14019","AJUBA",36.4083333333333,27.4340303030303,5.1861967948357,4.77789467737517,-0.408302117460527,0.408302117460527
"14020","PSME4",50.1283333333333,66.5260909090909,5.64755436308489,6.05584835795119,0.408293994866302,0.408293994866302
"14021","FAM185A",5.37733333333333,7.13615151515152,2.42689090502263,2.83514624696185,0.408255341939219,0.408255341939219
"14022","PHF7",11.6696666666667,15.4865757575758,3.54469144725952,3.95294627944855,0.408254832189034,0.408254832189034
"14023","TMEM19",12.668,9.54615151515151,3.6631168673661,3.25491923482119,-0.408197632544917,0.408197632544917
"14024","AC005034.3",0.140333333333333,0.105757575757576,-2.83307036231685,-3.24116708292353,-0.408096720606679,0.408096720606679
"14025","CALR3",0.340666666666667,0.451969696969697,-1.55356730444562,-1.14570204679797,0.407865257647656,0.407865257647656
"14026","SAFB2",39.8043333333333,30.0029696969697,5.31485359445531,4.90703340077687,-0.407820193678434,0.407820193678434
"14027","CHAF1A",73.394,55.3217272727273,6.19759022166077,5.78977429636665,-0.407815925294116,0.407815925294116
"14028","RPL8",3214.63333333333,2423.19354545455,11.6504384752949,11.2426939250749,-0.407744550219954,0.407744550219954
"14029","AL590369.1",0.714666666666667,0.948030303030303,-0.484657594925471,-0.0769949204338399,0.407662674491631,0.407662674491631
"14030","RHOQP3",0.0546666666666667,0.0725151515151515,-4.19319478076516,-3.78557372248204,0.407621058283118,0.407621058283118
"14031","ME1",7.35066666666667,9.7500303030303,2.87787510070787,3.28540670275595,0.407531602048083,0.407531602048083
"14032","PRDM10",8.66566666666667,6.53390909090909,3.11531074300305,2.70794638207824,-0.40736436092481,0.40736436092481
"14033","AC079612.1",0.00566666666666667,0.00427272727272727,-7.4632839441329,-7.87062705162175,-0.407343107488843,0.407343107488843
"14034","SRP14",378.19,285.164333333333,8.56296740620586,8.15564973908491,-0.407317667120946,0.407317667120946
"14035","KLHL13",7.932,10.5194848484848,2.98768467756676,3.39499215077863,0.407307473211866,0.407307473211866
"14036","RAPH1",8.95566666666667,6.75333333333333,3.16280083152945,2.75559976830526,-0.407201063224192,0.407201063224192
"14037","RUFY4",0.359333333333333,0.270969696969697,-1.47660532263074,-1.8837965734779,-0.407191250847161,0.407191250847161
"14038","CAMTA1",124.774666666667,165.460757575758,6.96318123948478,7.37034528255341,0.407164043068629,0.407164043068629
"14039","MED1",43.0286666666667,32.451303030303,5.42722623093954,5.02020450339264,-0.407021727546901,0.407021727546901
"14040","RP11.386M24.5",0.117,0.0882424242424242,-3.09541956507868,-3.50238376382184,-0.406964198743161,0.406964198743161
"14041","VASH2",93.067,123.376090909091,6.54019779783773,6.94691903102926,0.406721233191536,0.406721233191536
"14042","MOB4",82.1703333333333,108.930484848485,6.36054571412073,6.76726394718195,0.406718233061211,0.406718233061211
"14043","EIF4H",340.533333333333,256.907393939394,8.41165221409421,8.00510460218625,-0.406547611907957,0.406547611907957
"14044","RP11.736N17.4",0.935,1.23921212121212,-0.096961729887088,0.309423160866242,0.40638489075333,0.40638489075333
