,HMGA1,LIN28A,TERF1,ZFP42,ZSCAN10,HMGA2,SALL4,OTX2,ETV4,NR6A1,LIN28B,HES3,ZIC3,NANOG,ZNF93,FOXH1,MYCN,ZNF730,PRDM14,SOX11,label
80,1641.5700000000004,784.74,796.3799999999999,148.73000000000005,161.23000000000005,123.81000000000002,76.67999999999998,38.27,102.82999999999998,97.94,74.45,39.13,43.23,53.85,56.22,46.92,56.35,35.4,21.46,23.26,1
410,101.6,0.01,4.3,0.0,0.07,0.02,0.01,0.0,0.01,1.48,0.0,0.0,0.0,0.0,0.36,0.09,0.06,0.01,0.0,0.0,0
417,34.19,0.0,5.76,0.04,0.0,0.05,0.13,0.0,1.28,1.12,0.0,0.0,0.0,0.01,1.02,0.07,0.43,0.06,0.02,0.01,0
314,1509.93,712.24,252.0,55.99,111.95,113.45000000000002,89.76,137.0,64.02,92.17,57.12,117.25,34.09,18.6,56.72,51.53,61.86,38.25,15.15,55.17,1
244,1566.62,942.86,890.7299999999998,124.02,113.33,108.93,97.34000000000002,97.63,63.36,87.64,91.3,93.24,73.78999999999998,47.74,69.24000000000001,75.36,53.93,32.07,31.97,27.79,1
254,1683.9800000000002,836.16,669.0899999999998,134.04000000000002,98.04000000000002,112.8,106.68000000000002,141.09999999999997,41.22,88.5,105.4,67.81,61.24,87.57000000000002,77.97,48.88,47.47,35.75,42.48,35.77,1
380,16.44,0.0,7.59,0.0,0.0,0.0,0.04,0.0,0.71,0.48,0.0,0.0,0.0,0.0,0.44,0.0,0.19,0.06,0.0,0.16,0
475,78.71,0.0,11.7,0.0,0.18,0.1,0.18,0.03,1.13,0.76,0.01,0.0,0.69,0.02,0.45,0.06,1.73,0.09,0.02,0.95,0
237,1854.0,785.8599999999999,734.12,128.42000000000002,128.20999999999998,94.29,82.34,93.07,80.66999999999999,77.0,58.29,71.17,46.81,46.19,59.5,60.9,52.88,39.14,21.22,33.15,1
523,7.31,0.02,26.05,0.03,0.03,0.46,0.15,0.0,0.66,0.41,0.0,0.0,0.0,0.03,2.05,0.05,9.51,0.58,0.0,0.0,0
108,1826.68,1112.83,747.4700000000001,130.96,131.27,131.48,113.25,158.35000000000005,60.68000000000001,83.89000000000001,92.31,109.13,92.47,39.15,71.46000000000002,65.45,64.16,49.69,48.23,45.06,1
248,2024.77,472.28,155.52,35.3,103.0,52.24,26.57,20.43,171.68,62.3,17.95,22.18,29.79,45.35,2.06,55.61,33.77,6.749999999999999,6.5,12.14,1
357,42.79,0.0,25.23,0.15,0.0,0.26,0.23,0.0,1.67,0.88,0.0,0.0,0.02,0.0,1.42,0.2,0.46,0.0,0.04,0.0,0
455,16.88,0.05,15.72,0.0,0.04,0.1,0.29,0.0,1.71,2.5,0.07,0.0,0.0,0.01,1.92,0.0,0.58,0.05,0.0,0.18,0
496,67.67,0.01,14.84,0.0,0.04,0.0,0.09,0.02,0.34,1.55,0.14,0.0,0.52,0.0,0.77,0.39,5.79,0.1,0.0,1.8,0
229,1859.83,719.34,583.2299999999998,94.97,107.76,79.17,57.55,36.19,93.99,55.06,42.37,54.17,19.03,117.75,59.99,59.96,40.02,31.14,14.79,11.37,1
282,968.4,904.38,427.91,182.49,42.29999999999999,56.3,52.6,245.1,15.21,17.4,46.18,47.21,45.50999999999999,29.77,59.28,29.9,27.15,30.78,18.53,9.0,1
397,214.2,0.0,13.72,0.0,0.0,0.09,0.3,0.0,5.96,2.97,0.0,0.0,0.0,0.02,0.85,0.17,0.72,0.27,0.0,0.0,0
582,16.27,0.02,27.36,0.0,0.0,0.14,0.12,0.0,0.63,0.38,0.0,0.0,0.0,0.07,2.34,0.06,0.8,0.64,0.0,0.0,0
644,56.3,0.0,8.51,0.0,0.01,0.24,0.3,0.0,1.48,0.8,0.0,0.0,0.0,0.01,0.82,1.11,3.44,0.05,0.0,0.0,0
170,1525.4599999999996,942.25,377.86,105.77,88.28999999999998,112.29000000000002,121.37999999999998,199.64,41.40000000000001,77.07000000000002,75.81,100.2,118.07,15.65,57.92,48.92,45.58,52.83,19.540000000000006,37.5,1
418,78.2,0.0,12.81,0.06,0.1,0.0,0.05,0.0,1.95,2.75,0.01,0.0,0.02,0.01,0.74,0.17,0.44,0.08,0.0,0.01,0
7,1940.66,1035.66,766.91,164.02,111.57000000000002,112.01,113.39,152.98000000000005,60.97000000000001,96.55,97.02,136.32,63.81,55.16,80.49000000000002,69.25,71.52,54.09,48.6,37.18,1
14,1353.31,513.19,330.26,94.12,128.69,122.44,47.4,24.75,120.58,92.6,66.03,27.17,8.08,52.84,55.32,45.4,37.22,42.37000000000001,8.26,20.31,1
30,1708.77,853.0,662.3699999999999,92.27,129.20999999999998,128.07999999999998,86.95000000000002,84.71999999999998,91.47,93.15,91.45,84.25,54.17,92.08,68.04,68.68,57.59,34.92,30.69,27.06,1
620,10.57,0.08,25.89,0.0,0.0,0.15,0.15,0.0,1.23,0.68,0.0,0.0,0.01,0.0,1.9,0.0,1.23,0.08,0.0,0.01,0
420,57.86,0.02,12.18,0.0,0.0,0.02,0.04,0.0,0.46,0.63,0.1,0.11,0.07,0.0,0.5,0.03,2.04,0.06,0.02,1.1,0
144,1760.35,750.33,551.0799999999998,127.22,136.87,81.30000000000003,97.15,137.77,85.9,70.72,63.73,81.1,67.58,68.7,108.42,58.64,76.39,34.370000000000005,31.4,22.77,1
419,505.1,0.0,10.12,0.03,0.0,0.25,0.13,0.0,12.11,1.85,0.01,0.0,0.0,0.0,0.64,0.09,0.25,0.04,0.0,0.0,0
401,67.73,0.07,30.78,0.0,0.41,0.0,0.94,28.54,0.61,4.25,0.05,0.0,28.4,0.02,0.93,0.68,1.07,0.07,0.0,0.19,0
306,2138.67,804.87,547.3300000000002,180.69,267.31,81.8,91.62,58.91,139.23999999999998,72.06000000000002,85.83,48.1,31.09,95.53,65.63,96.65,87.05,13.42,65.14,17.59,1
222,1568.7700000000002,900.86,872.2699999999999,156.92000000000004,117.21,119.88,104.29,64.72,89.33,73.86,95.37,79.72,161.62,68.99999999999999,75.26,57.61,62.67,36.14,38.38,27.67,1
253,1648.67,1004.56,633.2199999999998,130.67000000000002,125.23,89.03,82.81,78.61,86.66,55.0,70.9,80.62,56.31999999999999,77.88,62.95,70.69,49.71,37.17,26.2,25.91,1
623,37.46,0.03,23.99,0.0,0.0,0.08,0.16,0.0,0.83,1.41,0.0,0.0,0.03,0.04,0.87,0.0,0.42,0.16,0.0,0.0,0
503,36.5,0.0,16.25,0.0,0.23,0.03,0.18,0.0,0.86,2.0,0.28,0.08,0.96,0.01,0.91,0.22,2.03,0.69,0.0,0.45,0
569,10.01,0.02,28.93,0.0,0.09,0.01,0.1,0.0,0.27,0.22,0.0,0.0,0.02,0.0,1.25,0.08,0.94,0.11,0.0,0.0,0
349,8.44,0.0,9.27,0.0,0.04,0.01,0.06,0.05,0.33,0.89,0.01,0.0,0.6,0.0,0.41,0.11,2.51,0.05,0.0,1.85,0
628,79.16,0.0,10.19,0.0,0.03,0.03,1.0,0.0,0.94,1.19,0.0,0.0,0.0,0.02,2.56,0.05,0.49,0.04,0.0,0.36,0
355,34.75,0.01,21.37,0.0,0.0,0.01,0.1,0.0,0.71,0.4,0.0,0.0,0.0,0.03,1.6,0.24,0.38,0.17,0.0,0.0,0
677,15.05,0.01,8.93,0.0,0.09,0.0,0.14,0.39,0.94,0.93,0.02,0.0,1.22,0.0,0.6,0.0,5.76,0.1,0.01,0.98,0
448,7.11,0.0,6.34,0.1,0.0,0.03,0.14,0.01,0.71,1.05,0.0,0.0,0.01,0.03,0.24,0.04,1.56,0.15,0.04,0.01,0
412,44.88,0.01,6.02,0.0,0.0,0.0,0.05,0.0,3.49,0.46,0.0,0.0,0.04,0.0,0.39,0.11,0.13,0.0,0.0,0.15,0
452,17.19,0.01,6.59,0.0,0.03,0.0,0.18,0.13,0.68,1.17,0.06,0.0,1.5,0.0,1.02,0.07,1.03,0.1,0.0,0.61,0
153,1444.5500000000004,663.51,426.73,85.84,56.21,131.01,93.23,193.7,36.87000000000001,50.12000000000001,79.76,66.67,65.98,37.7,53.17,42.18,38.67,47.14,20.29,68.07,1
84,1418.25,897.76,577.74,53.40000000000001,127.46,146.67,89.61999999999998,133.31,106.94,92.65,109.76,187.61,120.05,142.57,58.91,80.46,52.93,33.19,33.43,69.08,1
484,42.23,0.0,10.38,0.0,0.05,0.04,0.12,0.19,0.94,0.84,0.13,0.09,0.43,0.0,0.35,0.12,1.95,0.07,0.0,0.72,0
687,6.6,0.02,29.02,0.06,0.0,0.54,0.16,0.0,0.82,0.34,0.0,0.06,0.0,0.05,1.36,0.1,5.44,0.53,0.0,0.0,0
338,120.1,0.0,10.33,0.0,0.11,0.02,0.27,0.0,0.1,1.26,0.0,0.05,0.0,0.06,2.38,0.47,0.46,0.07,0.0,0.96,0
295,1783.4000000000005,488.68,304.85,33.61,134.49,100.25,44.58000000000001,24.200000000000006,148.64,94.54,38.34,31.47,15.5,38.37000000000001,18.69,30.78,53.32,34.29,10.24,21.4,1
