,HMGA1,LIN28A,TERF1,ZFP42,ZSCAN10,HMGA2,SALL4,OTX2,ETV4,NR6A1,LIN28B,HES3,ZIC3,NANOG,ZNF93,FOXH1,MYCN,ZNF730,PRDM14,SOX11
93,2007.64,647.55,428.57,107.36,164.55,101.49,51.86,17.33,128.63,83.09,52.34,11.46,12.65,87.19,55.59,40.58,53.34,21.96,16.82,14.93
94,1836.4700000000007,801.27,530.4099999999999,120.83,139.47000000000003,97.51,70.11,47.89000000000001,99.28,80.65,61.48,39.58,52.38,91.18,56.12,48.88,66.26,22.26,23.45,20.44
95,1863.63,1079.25,461.32,131.37,119.02,134.36,100.57,150.07999999999996,91.07,129.26,92.19,120.07,63.18,34.660000000000004,74.91,58.22,72.08,44.67,24.74,44.76
96,1758.99,983.07,830.8900000000001,148.2,96.89,106.73,95.08,121.89,55.13,85.77000000000002,100.2,84.52,130.93,68.54,63.25,65.35,56.28,35.28,50.65,33.25
97,1595.19,943.43,997.31,137.4,131.36,99.6,98.17,83.01999999999998,68.38,63.35,78.82,83.04,101.72,60.54,58.96,61.49,53.28,42.76,50.69,32.14
98,1763.16,975.44,822.8300000000003,148.72,115.76,103.33,87.48,89.75000000000001,84.44999999999997,85.63,91.0,84.3,80.1,59.07000000000001,71.42,59.22,56.68,47.08,32.129999999999995,30.46
99,1604.39,919.37,887.2299999999998,103.62,116.14,96.08,83.62,89.24000000000002,75.57,78.14,79.15,74.06,67.94,78.96000000000002,65.63,61.0,52.48,45.26000000000001,29.9,26.22
100,1470.7099999999996,697.98,729.93,113.31,141.94000000000003,101.93,57.07999999999999,11.5,149.35,39.63,68.71,57.78,55.1,258.16,57.08,79.54,31.61,43.040000000000006,27.37,26.9
101,1601.02,1022.68,616.22,136.98000000000002,109.44,107.67,109.7,180.26,64.78999999999999,84.38999999999999,93.49,112.63,67.5,54.7,79.88,69.67,56.76,48.58,37.52,46.06
102,1384.57,700.0999999999998,411.72,102.0,87.41000000000003,124.43,89.07000000000002,128.13,66.79,75.21,84.49,58.42,46.55,86.41,69.2,33.74,50.63,50.98,18.72,58.58
103,1600.28,1053.3,551.76,117.24,101.25,116.13,101.89,214.63,52.06999999999999,60.85,87.58,152.97,126.38,35.61000000000001,58.1,74.47,51.45,43.58,30.32,48.54
104,1464.66,927.07,808.9200000000002,131.56,123.36,114.16,88.94,129.35,67.68,58.45,56.58,123.29,156.67,48.09,60.25,67.75,65.73,44.11,22.09,45.76
105,1624.19,810.1700000000002,733.9499999999998,157.96,140.15,99.71999999999998,89.93,47.12,97.95,78.63,71.25,61.55,80.93,68.55,54.790000000000006,40.67,81.24,29.93,22.6,23.07
106,1837.96,872.71,744.66,146.05,102.88,90.19,85.49999999999999,110.92,54.84,49.32,69.26,81.48,73.16,69.57000000000001,57.42,72.2,47.39,33.45,52.48,19.33
107,1537.0299999999993,897.45,732.1300000000001,132.2,106.92,93.24,71.44,41.8,76.95999999999998,115.72,72.95,32.75,37.62,66.96,75.49000000000002,42.84,50.69,52.46,13.46,24.91
108,1826.68,1112.83,747.4700000000001,130.96,131.27,131.48,113.25,158.35000000000005,60.68000000000001,83.89000000000001,92.31,109.13,92.47,39.15,71.46000000000002,65.45,64.16,49.69,48.23,45.06
109,1898.57,1061.15,657.78,124.06,132.91,111.21,110.08,126.83,70.81,83.69,89.49,81.59,88.75,45.14,69.22,67.46000000000001,53.48,48.59,37.32,25.08
110,1605.6999999999996,736.34,823.45,151.05,150.54,90.69999999999996,107.85,137.40999999999997,43.97,45.290000000000006,64.57,77.05,157.55,97.55,51.88,79.14,69.86,19.62,118.91,19.02
111,1594.1900000000005,875.67,551.73,121.75,124.02,128.75,82.71000000000002,87.90999999999998,104.45000000000002,97.54999999999998,96.77,52.48,37.87,82.76,74.95,45.27,49.29,48.83,19.6,36.43
112,2042.22,1054.12,995.06,138.62,134.69,94.38,131.21,169.79,42.0,83.16999999999999,86.71,116.0,107.63,64.4,73.61,84.16,55.1,40.33,90.62,29.92
113,1277.34,704.59,816.62,103.14,116.61,92.58999999999996,89.82,92.06,33.36,59.91,76.71,61.65,64.58,87.15,65.03999999999999,59.7,45.26,37.56999999999999,37.13,16.39
