,EEF1A1,NPM1,PTMA,TMSB4X,HNRNPA1,TPT1,PPIA,SCGB3A2,PABPC1,GNB2L1,HSP90AB1,NACA,TUBA1B,HMGA1,NCL,HNRNPA2B1,SET,GABRP,NAP1L1,HNRNPC
26,12968.36,5866.830000000001,4719.859999999999,3066.81,3615.05,2891.7299999999996,3475.23,4719.72,2939.6800000000003,2589.0399999999995,2420.6699999999996,2118.25,1996.01,1975.19,2129.88,1858.43,1853.51,2306.01,1454.45,1339.1000000000004
27,15383.05,4904.660000000001,4229.240000000001,3534.77,2882.1100000000006,3428.8599999999997,3093.18,4889.330000000001,2063.06,2674.1800000000003,2037.33,1793.84,1840.4699999999998,1842.7200000000003,1402.1399999999996,1404.9099999999999,1164.2599999999998,2537.87,1000.2299999999998,1285.8200000000004
28,8393.83,5085.7,4046.8900000000003,4019.8199999999997,3468.1600000000003,3477.46,3618.120000000001,1344.73,2718.0600000000004,2606.32,1511.4,2405.1999999999985,1958.0100000000004,1207.39,1727.87,1388.68,1011.68,676.52,1107.69,1372.7600000000002
29,14203.26,5572.009999999999,5592.97,5734.3099999999995,2899.4399999999996,3019.13,2986.0,4131.910000000001,2773.6099999999997,2045.1400000000003,2190.5,1735.03,1598.9399999999996,1744.86,1433.2100000000003,1549.7699999999998,1558.5099999999998,2093.68,1281.5600000000002,1303.89
30,13776.91,4718.27,4802.970000000001,3742.37,3776.0700000000006,2938.59,2772.3599999999997,3327.24,2288.2999999999997,2501.09,2173.3999999999996,2185.18,1814.09,1708.77,2022.45,1759.6899999999998,1710.6499999999996,1431.45,1349.9199999999998,1195.6400000000003
31,12457.15,4680.830000000001,4291.71,3492.92,3292.1500000000005,3004.47,2623.08,1300.72,2363.99,2199.4100000000008,1814.6299999999999,1965.1200000000001,1933.61,1547.7299999999998,1552.8300000000002,1513.89,1469.8300000000002,633.78,1325.1899999999998,1273.7400000000002
32,9832.49,3924.33,4243.540000000001,3331.93,2476.89,2487.72,2240.23,3737.14,2641.3600000000006,1894.8499999999997,1577.54,1757.7800000000004,1344.4399999999998,1243.6299999999999,1266.8400000000004,1126.34,1117.3300000000004,1777.3500000000001,1299.3499999999995,1070.2899999999997
33,12831.259999999998,4828.23,4704.59,3649.84,3588.2199999999993,2621.13,2565.1500000000005,1316.24,2439.48,2210.5999999999995,1867.1499999999999,1884.7599999999995,1845.21,1553.8000000000002,1564.74,1678.62,1596.18,640.29,1270.2299999999998,1275.6
34,13248.940000000002,4627.639999999999,4725.399999999999,4888.73,3645.7400000000002,2765.9,2811.5200000000004,5024.0199999999995,2419.0199999999995,2597.1,2138.0800000000004,1974.8900000000003,1728.8899999999999,1669.84,2044.0399999999997,1673.92,1572.2599999999998,2248.2999999999997,1462.7700000000002,1083.33
35,20870.36,5025.09,2691.409999999999,4610.929999999999,1987.95,3961.28,3960.1099999999997,485.3400000000001,1639.1599999999996,3203.57,1596.9200000000003,1817.31,2644.129999999999,1383.25,479.6000000000001,617.8199999999999,670.1400000000001,237.44,875.7,1772.5900000000001
36,11482.539999999999,5048.970000000001,4096.57,3430.7,3032.3100000000004,2800.36,2976.41,3203.81,2528.71,2043.1,2065.34,1564.03,1964.79,1665.2200000000003,2023.7399999999998,1798.3400000000001,1724.2900000000002,1421.26,1227.2299999999998,1409.1899999999996
37,12318.359999999999,5057.62,4347.91,3302.2099999999996,3133.0200000000004,2948.1599999999994,2701.4299999999994,2729.6900000000005,2626.2400000000002,1962.62,2161.54,1711.5,1671.05,1685.4300000000003,1821.9200000000003,1527.5299999999997,1517.1100000000001,1396.1899999999998,1323.3600000000001,1132.9700000000003
38,13269.56,3877.51,4214.309999999999,8921.380000000001,2913.0300000000007,2669.7399999999993,2172.19,1397.7199999999998,2010.99,2426.7299999999996,1828.3999999999999,1893.7499999999998,1702.3600000000001,1697.8400000000001,1001.2899999999998,1158.8,855.07,894.25,1014.02,1219.76
39,11780.07,3854.7799999999997,3707.19,4004.33,3070.56,2647.35,2658.62,5670.700000000001,2295.67,2576.3199999999997,2022.52,1584.4700000000003,1908.7700000000002,1890.81,1161.9999999999998,1361.67,934.96,2698.66,988.5799999999999,1146.1400000000003
40,12342.800000000001,4529.64,3933.6200000000003,4771.78,3008.5199999999995,2921.8099999999995,2978.08,1171.1399999999999,2057.1699999999996,2370.2999999999997,2061.8500000000004,1910.8,1979.4500000000003,1670.87,1243.9,1456.76,1047.3400000000001,707.7000000000002,995.3000000000001,1416.06
41,14850.300000000003,4753.389999999999,5212.540000000002,7392.469999999999,3713.0399999999995,2910.6299999999997,2563.39,3640.58,2407.22,2742.67,2087.42,2326.9399999999996,1765.16,1625.93,1542.8599999999997,1531.84,1568.96,1561.6099999999997,1421.86,1211.3500000000001
42,10022.25,3864.9399999999996,3179.149999999999,3621.3599999999997,2320.4700000000003,2709.05,2782.65,1522.7300000000002,2103.4699999999993,1863.4900000000005,1731.1499999999999,1189.6,1847.7300000000002,1333.6200000000001,1512.31,1156.9500000000003,1160.0400000000002,703.99,1005.32,1173.38
43,13656.92,4900.76,4992.300000000001,4298.5199999999995,3371.6400000000003,3269.1399999999994,2942.23,2226.52,2209.86,2192.9400000000005,2097.7999999999997,1994.5900000000001,1953.05,1886.5600000000002,1722.4199999999998,1512.4599999999998,1595.66,1041.7,1403.4999999999998,1158.8200000000004
44,11443.159999999998,5823.800000000001,4602.669999999999,3514.95,3558.5099999999993,3168.14,3103.93,2235.17,2159.64,2110.65,2209.42,1852.3600000000004,1908.5800000000002,1618.3500000000001,1821.3299999999997,2074.51,1393.9400000000005,1371.72,1326.9099999999996,1511.2200000000005
45,8819.890000000001,3699.6499999999996,3500.2099999999996,3340.49,2643.0099999999993,2327.49,2463.71,4672.21,2266.9599999999996,1810.44,1814.24,1217.2299999999998,1665.8999999999999,1237.0200000000002,1770.4299999999998,1309.64,1240.26,1954.78,1014.3599999999998,1066.8299999999997
46,18910.75,5625.320000000001,3419.4400000000005,5078.420000000001,2175.9700000000003,4620.07,4751.59,2023.15,1760.1499999999994,2536.94,1638.27,1713.25,2347.32,1504.1200000000001,894.7099999999999,857.0999999999999,1007.02,966.06,1243.21,1702.0700000000006
47,15243.729999999998,4985.7699999999995,6053.639999999999,5648.17,3292.25,3133.94,2722.3300000000004,3930.2999999999997,2396.0699999999997,2244.74,1900.08,1909.3800000000003,1636.78,1594.5099999999998,1415.97,1517.7599999999998,1471.94,1474.1700000000003,1367.4800000000002,1263.79
48,13975.88,4883.280000000001,4756.609999999999,5462.26,3264.9800000000005,2978.81,2735.9,8049.85,2573.9499999999994,2415.1499999999996,2062.8300000000004,1931.3000000000002,1573.45,1594.73,1326.57,1304.64,1341.39,3340.7999999999997,1262.14,1227.2800000000002
49,11476.23,4833.219999999998,4013.1200000000003,3523.59,3148.26,2838.77,2730.6400000000003,3638.06,2519.42,2094.2299999999996,2102.85,1509.79,1876.1699999999998,1669.53,2024.2199999999998,1677.7300000000002,1541.46,1775.6899999999998,1270.0699999999995,1250.99
50,13650.860000000002,5536.58,5051.359999999999,4907.67,3188.31,3107.3,2437.75,9182.23,2598.59,2341.51,1930.95,2038.6399999999994,1687.3200000000002,1455.11,1296.48,1226.05,1388.55,3014.6000000000004,1374.0700000000002,1166.8000000000004
51,12184.03,4735.63,3886.79,7276.360000000001,2395.47,3341.37,3516.56,4226.179999999999,1665.99,2303.9,1760.1699999999998,2097.92,2050.19,1812.52,1433.32,1422.2400000000002,1010.7299999999999,2305.43,944.6,1375.53
52,15565.67,5185.78,5259.58,8653.8,3701.0999999999995,3238.8900000000003,2722.9599999999996,2996.3700000000003,2846.870000000001,2411.4900000000002,1882.08,2203.54,1786.2900000000002,1557.1299999999999,1513.8500000000001,1602.9,1526.55,1446.5699999999997,1651.4999999999998,1223.7400000000005
53,11019.789999999999,3650.15,2746.3,2473.0399999999995,2574.3899999999994,2120.89,2689.28,2039.0300000000002,2760.82,2063.37,1892.9599999999998,1413.22,1906.52,1585.93,1310.5400000000002,1096.82,1051.73,992.02,1222.0199999999995,1076.15
54,9862.610000000002,4678.2300000000005,3036.3299999999995,3079.7799999999997,3103.9500000000003,2904.9999999999995,2624.75,2075.46,2161.05,2153.6000000000004,2112.65,1651.8,1951.9700000000003,1731.4799999999998,1750.6299999999999,1477.75,1194.26,1243.25,1133.3100000000002,1305.5800000000002
55,12446.060000000003,4891.820000000001,3767.380000000001,2854.31,3394.8300000000004,2936.7900000000004,2525.92,725.68,2430.5900000000006,1943.59,1987.22,1953.74,1868.2100000000003,1627.29,1573.86,1342.1,1337.6999999999998,424.36,1339.48,1233.6599999999999
56,14899.53,4585.71,2846.1600000000003,4825.26,3685.94,3244.48,2621.65,1035.93,2371.91,2975.3599999999997,2001.54,2387.0299999999997,2467.1799999999994,1783.5400000000002,1544.3400000000001,1398.1699999999998,1215.96,567.1899999999999,1399.3000000000002,1246.5500000000004
57,11872.139999999998,4188.990000000001,3450.27,3503.83,2397.12,2091.8,2459.07,3183.42,3107.9600000000005,2062.2100000000005,1969.47,1531.1300000000003,1475.2200000000003,1701.01,1439.28,1024.97,1056.26,1581.6200000000001,1421.9999999999998,1029.9099999999999
58,14741.56,4489.349999999999,5446.28,9198.339999999998,3492.5200000000004,3048.03,2199.8399999999997,4036.2499999999995,2702.47,2389.6800000000003,1754.73,2022.7500000000002,1408.3400000000001,1537.8700000000003,1467.05,1520.6499999999999,1655.22,1655.3,1505.2800000000002,1122.5199999999998
59,13228.949999999999,4859.670000000001,4743.109999999998,3077.4,3621.0700000000006,2998.7900000000004,2532.13,2137.85,2689.47,2287.0699999999993,1873.0,1834.0399999999997,1794.3700000000001,1754.3200000000002,1596.7199999999998,1754.66,1694.94,921.7199999999999,1567.5099999999998,1361.2399999999996
60,11906.630000000001,5092.090000000001,4220.2699999999995,3689.17,3503.03,3069.6799999999994,2856.31,2308.88,3166.17,2383.7800000000007,1928.6399999999999,1957.6499999999994,1987.3200000000002,1866.0500000000002,1961.6300000000003,1590.19,1521.77,987.8900000000001,1319.5700000000002,1257.2700000000002
61,13257.83,5356.349999999999,6139.350000000001,4934.53,3514.4700000000003,3135.06,2527.1299999999997,4160.57,2839.1799999999994,2209.2699999999995,1750.85,2370.4500000000007,1336.16,1445.1599999999999,1504.5600000000002,1505.09,1515.37,1663.89,1399.1700000000005,1185.2999999999997
62,13356.890000000001,4817.670000000001,4455.16,5629.52,3314.7599999999998,2930.4900000000002,2416.59,2085.8599999999997,2475.0599999999995,2177.320000000001,1891.3600000000001,1803.46,1769.46,1618.94,1509.35,1472.75,1434.18,1061.3600000000001,1303.3999999999996,1094.45
63,12933.400000000003,5281.299999999999,4823.76,3620.92,3115.97,3033.640000000001,3160.27,1131.46,2112.0200000000004,2026.8200000000004,2025.26,1635.3500000000001,1808.9,1471.6599999999999,1682.1799999999998,1944.94,1427.9900000000005,772.13,1270.2199999999998,1426.5899999999995
64,15237.24,5037.2699999999995,5071.490000000001,4709.9400000000005,3157.3999999999996,3168.2100000000005,2767.18,2749.63,2220.2000000000003,2339.6900000000005,1831.1699999999998,1769.1899999999998,1955.1699999999998,1649.4,1246.5800000000002,1454.39,1395.52,1251.9299999999998,1301.8700000000003,1400.9800000000002
65,14352.400000000003,4770.449999999999,5459.9,7433.88,3350.98,2681.06,2638.51,5927.14,2649.8299999999995,2286.5699999999997,2251.92,1981.7800000000002,1618.02,1869.64,1789.5100000000002,1577.1,1618.04,2804.08,1339.77,1197.2600000000007
66,14076.08,5067.42,5165.789999999999,4838.169999999999,3485.32,3066.37,2736.0699999999997,4854.76,2635.020000000001,2150.6099999999997,2050.74,1982.7100000000005,1767.8,1719.55,1459.94,1473.96,1416.41,1947.65,1299.37,1224.73
67,16167.730000000001,5314.23,5013.9,3023.4900000000002,2935.2999999999997,3366.07,2567.78,7193.83,2761.24,2444.340000000001,2173.92,1797.67,1438.78,1757.1000000000001,1282.99,1169.21,1179.96,3748.71,1259.79,1213.83
68,11986.070000000003,4283.55,4803.400000000001,4591.869999999999,3315.24,2856.82,2649.93,5583.38,2098.4199999999996,2156.8799999999997,2148.99,1798.3999999999999,1553.97,1649.39,1892.0300000000002,1574.24,1699.09,2143.37,1147.1500000000003,1119.8599999999997
69,14399.0,4772.92,4842.37,3567.93,3345.0600000000004,2974.37,2323.37,3431.9100000000003,2456.63,2277.0299999999997,1804.1299999999999,1716.49,1749.4199999999998,1587.27,1328.4,1502.3000000000002,1428.77,1550.8400000000001,1315.7199999999993,1218.7600000000007
70,13977.11,5709.46,4581.330000000001,4841.780000000001,3381.0100000000007,2643.3900000000003,2596.28,1245.0399999999997,2675.08,2413.8999999999996,1939.38,2063.6,1528.83,1498.2,1520.1000000000001,1454.54,1464.8499999999997,631.5100000000001,1486.9700000000003,1361.6399999999999
71,13499.579999999998,5025.1799999999985,6699.5199999999995,4716.490000000001,3254.499999999999,3263.0499999999997,2787.6,13622.67,2392.919999999999,2829.41,1885.67,2217.0200000000004,1414.4399999999998,1598.1200000000001,1467.42,1262.64,1530.06,5128.759999999998,1300.5500000000002,1209.5
72,11178.19,5478.230000000001,5147.62,3882.2699999999995,3224.47,3201.169999999999,2987.7100000000005,2941.0600000000004,2481.08,2132.83,1838.67,1912.2500000000002,1873.8,1680.11,1537.9100000000003,1549.91,1355.71,1522.56,1214.8799999999999,1194.8199999999995
