,HMGA1,LIN28A,TERF1,ZFP42,ZSCAN10,HMGA2,SALL4,OTX2,ETV4,NR6A1,LIN28B,HES3,ZIC3,NANOG,ZNF93,FOXH1,MYCN,ZNF730,PRDM14,SOX11,label
200,1470.7099999999996,697.98,729.93,113.31,141.94000000000003,101.93,57.07999999999999,11.5,149.35,39.63,68.71,57.78,55.1,258.16,57.08,79.54,31.61,43.040000000000006,27.37,26.9,1
99,368.5,0.03,19.42,0.0,0.06,8.38,0.19,0.0,1.85,0.39,0.0,0.0,0.0,0.01,0.91,0.17,0.06,0.22,0.0,0.12,0
60,874.6,0.02,15.35,0.0,0.03,17.8,0.72,0.0,9.3,0.36,0.0,0.0,0.0,0.06,2.0,0.44,0.02,0.26,0.0,0.07,0
219,491.57,843.21,562.2699999999999,78.82,111.19999999999996,89.40999999999998,57.81,138.46,30.95,32.12,34.67,83.35,47.7,32.5,37.8,40.5,56.9,33.2,16.71,36.84,1
43,483.8,0.01,17.64,0.0,0.05,15.22,0.06,0.0,12.35,0.3,0.0,0.0,0.0,0.01,4.07,0.21,0.03,0.95,0.0,0.52,0
247,1680.7100000000007,882.3799999999999,792.2500000000001,136.05,125.85,114.63,84.35000000000002,48.98,91.29,69.99,75.53,51.82,73.42,77.78,72.13000000000002,55.42,48.12,18.630000000000006,34.47,22.23,1
160,1866.05,877.76,819.92,104.11,89.39,115.44,97.47999999999998,144.11,49.39999999999999,63.31,73.92,80.17,65.88,53.79999999999999,57.25,51.18000000000001,47.62,31.88,50.24,46.11,1
251,1571.52,845.4000000000002,693.7500000000001,161.38,113.87,126.14,85.6,89.32,84.05,112.0,95.29,72.1,59.88,38.32,66.16,47.33,58.97,49.37000000000001,17.7,37.66,1
162,1618.94,825.58,658.6199999999999,129.39,101.03,120.86,78.89,80.35000000000002,85.47,75.61999999999998,74.16,38.81,43.2,33.309999999999995,53.99,42.25,56.59,47.05,24.73,33.96,1
20,829.1,0.0,14.54,0.0,0.03,21.05,0.16,0.0,11.41,0.15,0.0,0.0,0.0,0.0,2.96,0.16,0.0,0.12,0.0,1.24,0
118,1654.91,930.18,709.6999999999998,165.12,113.3,139.70000000000002,108.94,161.34,63.35000000000001,92.88,97.66,85.87,94.77,31.9,70.82,56.58,55.25,39.290000000000006,37.8,48.73,1
143,1886.56,903.25,780.58,140.66,94.96,123.55,80.89999999999998,106.01000000000002,77.28,65.07,68.71,66.02,63.85,49.55,62.75,50.0,59.5,53.16,36.51,35.73,1
308,1270.4600000000005,550.66,274.67,32.52,108.96,106.56000000000002,50.36,36.78,123.66,56.94,51.0,7.18,26.91,101.28,43.5,57.0,22.35,34.28,10.65,13.35,1
407,1738.44,951.02,929.4,119.17,115.49,110.65000000000002,74.81,68.13,79.72999999999998,102.12,80.27,56.61,47.55,31.66,61.48,56.76,42.37,35.97,21.86,32.01,1
138,1697.84,573.26,309.37,85.44,167.77999999999997,88.88999999999999,70.52,115.61,81.42999999999998,76.27000000000002,58.98,97.56,80.48,47.54,1.5699999999999998,61.26000000000001,55.91,35.160000000000004,21.83,23.33,1
